Rank     Team                            W-L-T    Rating
1        Oregon                          6-1-0    71.3918
2        Boise St                        6-0-0    70.8685
3        Nebraska                        4-1-0    68.6018
4        Stanford                        6-1-0    68.3064
5        Auburn                          9-0-0    67.6171
6        Oklahoma                        8-0-0    67.0126
7        Virginia Tech                   4-0-0    64.7328
8        Stanford                        6-0-0    63.2561
9        Oregon                          6-0-0    63.0856
10        Utah                            5-0-0    62.6901
11        Oklahoma St                     6-2-0    61.8255
12        Auburn                          5-0-0    61.5875
13        TCU                             8-0-0    61.3734
14        Arizona St                      4-2-0    61.2391
15        Arkansas                        4-1-0    60.9241
16        Arkansas                        6-2-0    58.9087
17        North Carolina St               6-1-0    58.6465
18        Connecticut                     6-0-0    58.4289
19        Nevada                          8-0-0    58.3868
20        Texas A&M                       5-2-0    58.1933
21        Wisconsin                       7-0-0    57.4557
22        Alabama                         7-1-0    57.2154
23        Ohio State                      8-0-0    57.2105
24        South Carolina                  6-2-0    56.3694
25        LSU                             7-0-0    56.0922
26        Oklahoma St                     5-0-0    55.8094
27        Northern Illinois               5-0-0    55.7978
28        LSU                             4-2-0    55.232
29        Florida                         6-2-0    54.5343
30        Ohio State                      4-1-0    54.351
31        Boise St                        6-1-0    54.0071
32        San Diego St                    6-1-0    53.95
33        Iowa St                         4-2-0    53.8381
34        Michigan St                     3-0-0    53.6574
35        Alabama                         3-2-0    53.4643
36        TCU                             5-0-0    53.4543
37        Missouri                        7-1-0    53.2885
38        Kansas St                       5-2-0    53.1038
39        Southern Cal                    5-1-0    52.8238
40        Florida St                      4-3-0    52.4476
41        Florida St                      6-1-0    52.3898
42        Air Force                       5-1-0    52.2774
43        Mississippi St                  6-2-0    51.9107
44        Utah                            5-0-0    51.8802
45        Georgia                         5-1-0    51.6517
46        Wisconsin                       4-2-0    51.3472
47        Iowa                            5-2-0    51.0715
48        Nevada                          5-1-0    50.7677
49        Florida                         2-0-0    50.2375
50        Maryland                        7-1-0    50.1443
51        California                      4-3-0    49.8595
52        Pittsburgh                      4-1-0    49.7001
53        Tulsa                           6-0-0    49.6473
54        Texas A&M                       3-1-0    49.4503
55        Air Force                       4-2-0    49.4319
56        Minnesota-Duluth                8-0-0    49.3994
57        West Virginia                   6-1-0    49.2154
58        Virginia Tech                   7-3-0    49.1756
59        Notre Dame                      5-3-0    48.9877
60        Pittsburgh                      4-3-0    48.9394
61        West Virginia                   3-2-0    48.4185
62        Colorado                        5-2-0    48.3909
63        Illinois                        4-2-0    47.7956
64        Oklahoma                        4-2-0    47.6343
65        Miami FL                        3-3-0    47.4003
66        Michigan St                     8-0-0    47.1286
67        Mississippi St                  3-1-0    46.8735
68        South Carolina                  3-3-0    46.4397
69        Penn State                      6-2-0    45.7978
70        Brigham Young                   5-1-0    45.7887
71        Nebraska                        6-1-0    45.594
72        UCLA                            3-2-0    45.5784
73        Kentucky                        5-3-0    45.2917
74        Hawai`i                         6-2-0    44.9297
75        Arizona                         4-3-0    44.6855
76        Illinois                        3-3-0    44.4933
77        Navy                            6-1-0    44.4762
78        Oregon St                       4-2-0    44.389
79        Central Florida                 6-1-0    44.3629
80        Texas                           3-1-0    44.0838
81        Texas Tech                      5-2-0    43.8145
82        Wofford                         5-1-0    43.7362
83        Boston College                  0-1-0    43.1571
84        Eastern Washington              8-0-0    42.9388
85        Washington                      4-2-0    42.3511
86        Ohio U.                         5-1-0    42.0401
87        North Carolina                  5-1-0    41.9267
88        Michigan                        4-3-0    41.7298
89        Clemson                         5-2-0    41.6296
90        Central Missouri                5-1-0    41.6089
91        Appalachian St                  7-1-0    41.5498
92        Houston                         3-3-0    41.4285
93        Louisville                      4-1-0    41.3834
94        Florida                         0-1-0    41.2978
95        South Florida                   4-1-0    41.2434
96        Navy                            3-2-0    41.2096
97        Western Illinois                6-0-0    40.8678
98        Texas Tech                      3-2-0    40.7578
99        NW Missouri St                  6-1-0    40.4371
100        Georgia                         1-4-0    40.3246
101        Tennessee                       4-4-0    40.1352
102        San Diego St                    3-3-0    40.1189
103        Southern Cal                    3-3-0    40.0432
104        Wyoming                         2-2-0    40.014
105        Georgia Tech                    0-1-0    39.8563
106        Tulsa                           4-3-0    39.6142
107        North Carolina                  3-4-0    39.4246
108        Oregon St                       1-4-0    39.347
109        Michigan Tech                   5-0-0    39.3256
110        Cincinnati                      3-3-0    39.1407
111        Hawai`i                         4-1-0    39.0105
112        Miami FL                        4-3-0    38.9766
113        Augustana SD                    7-0-0    38.8422
114        Baylor                          3-2-0    38.8275
115        Fresno St                       5-3-0    38.2175
116        Missouri St                     4-0-0    38.0403
117        Eastern Kentucky                5-0-0    38.0345
118        UNLV                            2-3-0    38.0134
119        UCLA                            1-3-0    37.7966
120        Georgia                         0-1-0    37.7873
121        UCLA                            0-1-0    37.7308
122        Washington                      0-1-0    37.7308
123        Temple                          5-1-0    37.6402
124        Maryland                        2-2-0    37.5294
125        Notre Dame                      3-2-0    37.4486
126        Toledo                          4-2-0    37.43
127        Marshall                        4-2-0    37.3593
128        Mississippi                     3-4-0    37.2496
129        Delaware                        9-2-0    37.1396
130        Arizona                         3-3-0    37.0886
131        Northern Illinois               6-3-0    36.7565
132        Northern Iowa                   4-1-0    36.6481
133        North Carolina St               3-3-0    36.5281
134        Clemson                         1-4-0    36.476
135        Abilene Christian               6-0-0    36.4401
136        Utah St                         1-3-0    36.2931
137        Temple                          3-2-0    35.8283
138        East Carolina                   4-2-0    35.8131
139        Troy                            5-1-0    35.7226
140        Arizona St                      2-4-0    35.7063
141        St Cloud St                     6-0-0    35.6776
142        Fresno St                       3-1-0    35.6209
143        Villanova                       5-4-0    35.5902
144        St Xavier                       8-0-0    35.5397
145        Grand Valley St                 7-0-0    35.3613
146        William & Mary                  5-1-0    35.062
147        Minnesota-Duluth                7-0-0    34.8774
148        Miami OH                        5-1-0    34.8769
149        Boston College                  4-2-0    34.8439
150        Northwestern                    3-3-0    34.7177
151        Southern Miss                   4-3-0    34.5357
152        Hardin-Simmons                  5-0-0    34.4477
153        Michigan                        3-2-0    34.412
154        Virginia                        4-3-0    34.3553
155        Georgia Tech                    4-2-0    34.2848
156        Washburn                        3-3-0    34.1954
157        Eastern Washington              5-1-0    34.0341
158        Georgia                         0-1-0    33.945
159        Washington                      3-3-0    33.9361
160        Toledo                          4-2-0    33.7387
161        Iowa                            3-3-0    33.6156
162        Syracuse                        5-1-0    33.3938
163        Florida Int'l                   4-3-0    33.3589
164        Texas                           2-6-0    33.1493
165        Syracuse                        3-2-0    33.1487
166        Southern Miss                   4-2-0    32.9357
167        Navy                            0-1-0    32.8531
168        Brigham Young                   2-4-0    32.7858
169        Delaware                        3-1-0    32.6541
170        Boston College                  3-3-0    32.6323
171        North Alabama                   4-0-0    32.6252
172        Central Florida                 5-2-0    32.4184
173        NW Missouri St                  6-0-0    32.2867
174        SMU                             4-3-0    32.2471
175        Louisiana Tech                  2-4-0    32.036
