Rank     Team                            W-L-T    Rating
161        Princeton                       4-1-0    33.2423
162        Texas                           3-2-0    33.1173
163        Brigham Young                   3-3-0    33.0012
164        Northern Iowa                   3-2-0    32.8122
165        James Madison                   6-1-0    32.6843
166        Arkansas St                     3-2-0    32.6817
167        Syracuse                        4-2-0    32.5418
168        Princeton                       4-1-0    32.4345
169        Tulane                          5-2-0    32.072
170        SE Louisiana St                 4-2-0    31.9649
171        Toledo                          2-3-0    31.7893
172        Connecticut                     2-5-0    31.7868
173        TCU                             1-4-0    31.7422
174        North Carolina                  2-3-0    31.664
175        Florida                         1-3-0    31.632
176        Boise St                        2-4-0    31.4407
177        Montana                         5-2-0    31.2522
178        Grand Valley St                 9-0-0    30.818
179        Ohio U.                         2-1-0    30.7251
180        Jacksonville St                 5-2-0    30.3726
181        Fresno St                       4-2-0    30.3686
182        Sacred Heart                    5-1-0    30.3655
183        St Francis PA                   0-1-0    30.3655
184        Miami FL                        3-2-0    30.1493
185        Illinois                        0-1-0    30.0453
186        Iowa St                         1-5-0    30.0173
187        Maryland                        4-3-0    30.0015
188        San Jose St                     3-3-0    29.9728
189        Georgia Southern                5-1-0    29.9503
190        Murray St                       5-1-0    29.9276
191        Northern Arizona                5-0-0    29.8804
192        Wake Forest                     1-3-0    29.8577
193        Tennessee St                    5-1-0    29.7493
194        Southern Illinois               4-1-0    29.7266
195        Texas-San Antonio               4-2-0    29.4086
196        San Jose St                     3-3-0    29.4077
197        Iowa St                         2-2-0    29.3138
198        Florida                         3-3-0    29.1806
199        SMU                             3-3-0    29.1025
200        Richmond                        4-2-0    29.0937
201        Troy                            4-1-0    29.0337
202        Pittsburg St                    5-1-0    28.9666
203        Eastern Washington              5-2-0    28.8292
204        UW-Whitewater                   6-0-0    28.804
205        Minnesota                       0-2-0    28.6777
206        North Carolina St               3-5-0    28.5791
207        Samford                         4-1-0    28.4692
208        Georgia Tech                    2-4-0    28.2286
209        Linfield                        6-0-0    28.1896
210        West Texas A&M                  6-2-0    28.1747
211        Villanova                       4-1-0    28.0873
212        Bethel MN                       5-0-0    28.0614
213        UNLV                            4-3-0    28.0611
214        Arkansas St                     5-0-0    27.7824
215        Lenoir-Rhyne                    8-2-0    27.6271
216        Utah                            0-1-0    27.598
217        Kansas                          3-4-0    27.5809
218        Gardner-Webb                    5-0-0    27.571
219        William & Mary                  5-0-0    27.2794
220        Villanova                       2-4-0    27.2226
221        Central Michigan                3-2-0    27.2101
222        Kent St                         2-3-0    27.1588
223        Penn State                      1-3-0    27.1575
224        Jacksonville St                 6-2-0    26.9552
225        SE Louisiana St                 7-1-0    26.8751
226        Mississippi St                  0-1-0    26.8701
227        Virginia                        0-1-0    26.6473
228        Bloomsburg                      5-0-0    26.6076
229        North Alabama                   5-2-0    26.5502
230        Chadron St                      4-1-0    26.543
231        Chattanooga                     5-1-0    26.5325
232        Florida Atlantic                3-2-0    26.5163
233        South Florida                   1-2-0    26.4527
234        Stony Brook                     3-2-0    26.3983
235        Lehigh                          4-1-0    26.369
236        West Chester                    6-1-0    26.3377
237        Texas                           0-1-0    26.1843
238        Dartmouth                       4-2-0    26.077
239        Louisiana-Lafayette             5-2-0    25.9802
240        Western Kentucky                4-2-0    25.9552
241        Harvard                         5-0-0    25.881
242        Youngstown St                   5-2-0    25.8226
243        Colorado St                     3-2-0    25.7823
244        Texas-San Antonio               3-3-0    25.4982
245        Winston-Salem St                7-0-0    25.4136
246        Akron                           3-2-0    25.3696
247        Tarleton St                     4-1-0    25.3617
248        Marshall                        4-4-0    25.3203
249        Northwestern St                 5-1-0    24.9498
250        Tennessee-Martin                2-3-0    24.9163
251        Virginia                        2-5-0    24.8939
252        Findlay                         5-1-0    24.7065
253        UNLV                            3-3-0    24.68
254        St Francis PA                   4-1-0    24.6412
255        Delta St                        4-0-0    24.5556
256        Akron                           2-3-0    24.5501
257        Kentucky                        2-3-0    24.5191
258        Florida Atlantic                3-3-0    24.5108
259        South Dakota St                 0-1-0    24.3769
260        Sacramento St                   3-0-0    24.2784
261        Wofford                         0-1-0    24.2214
262        Northern Arizona                4-0-0    24.1977
263        Minnesota-Duluth                5-1-0    24.1654
264        West Alabama                    7-0-0    24.1554
265        Central Arkansas                4-2-0    24.1529
266        Minn St-Mankato                 6-0-0    24.0753
267        Furman                          4-1-0    24.0179
268        Shepherd                        5-0-0    23.9562
269        Ohio U.                         5-2-0    23.8609
270        Coastal Carolina                5-3-0    23.7863
271        Missouri St                     3-3-0    23.7656
272        Iowa                            0-1-0    23.7552
273        Southern Illinois               3-4-0    23.7362
274        Henderson St                    6-1-0    23.6626
275        Eastern Kentucky                4-1-0    23.6404
276        Johns Hopkins                   5-1-0    23.6222
277        UNC-Pembroke                    5-1-0    23.5735
278        Incarnate Word                  5-0-0    23.5732
279        Northern Iowa                   4-2-0    23.51
280        Missouri Western                5-0-0    23.4614
281        Pittsburgh                      0-1-0    23.4089
282        Maine                           5-1-0    23.3598
283        Liberty                         6-1-0    23.2931
284        Montana St                      4-2-0    23.2774
285        Ohio Dominican                  6-0-0    23.2559
286        Army                            2-3-0    23.1659
287        Cal Poly SLO                    3-3-0    23.1414
288        Washburn                        5-1-0    23.1083
289        California                      1-6-0    23.0667
290        Furman                          4-3-0    23.062
291        UW-Platteville                  5-0-0    23.0586
292        Mercyhurst                      4-0-0    23.0487
293        Temple                          0-1-0    23.033
294        Pennsylvania                    3-2-0    22.9595
295        Johns Hopkins                   5-0-0    22.8494
296        Colorado St-Pueblo              5-1-0    22.8489
297        Tennessee                       1-3-0    22.7904
298        Grand View                      7-0-0    22.7871
299        Lafayette                       2-2-0    22.7837
300        Rice                            4-3-0    22.7277
301        Montana                         5-1-0    22.6398
302        Saginaw Valley St               5-0-0    22.6395
303        New Hampshire                   4-4-0    22.5692
304        Fordham                         5-2-0    22.5606
305        Temple                          1-4-0    22.5308
306        North Central                   7-0-0    22.5267
307        West Virginia                   1-3-0    22.5092
308        Bucknell                        3-1-0    22.4602
309        Buffalo                         3-4-0    22.4279
310        Boston College                  2-4-0    22.3218
311        Bowling Green                   4-2-0    22.3145
312        Mississippi                     0-1-0    22.2837
313        Eastern New Mexico              4-1-0    22.2575
314        Delaware                        2-2-0    22.0781
315        McNeese St                      5-1-0    22.0073
316        North Carolina A&T              5-0-0    21.959
317        North Texas                     3-3-0    21.9293
318        South Dakota St                 5-3-0    21.733
319        Kansas                          0-3-0    21.6709
320        North Central                   6-1-0    21.4826
321        Rutgers                         1-4-0    21.4556
322        Temple                          0-1-0    21.4166
323        Wyoming                         1-3-0    21.4045
324        Western Kentucky                4-2-0    21.2312
325        Brown                           3-2-0    21.1997
