Rank     Team                            W-L-T    Schedule Factor
161        Kent St                         0-1-0    37.3351
162        Indiana St                      0-2-0    37.2771
163        Wisconsin                       4-3-0    37.2597
164        Northwestern                    3-4-0    37.1301
165        Brigham Young                   4-2-0    37.069
166        Georgia                         5-3-0    37.0409
167        South Florida                   3-3-0    36.9459
168        Colorado                        2-3-0    36.9188
169        Brown                           0-1-0    36.8956
170        Washington                      6-1-0    36.8895
171        Wake Forest                     0-1-0    36.8566
172        Colorado                        1-4-0    36.8395
173        Samford                         0-1-0    36.823
174        South Carolina                  8-1-0    36.7965
175        Iowa                            1-3-0    36.7113
176        Illinois                        5-2-0    36.6207
177        Toledo                          5-2-0    36.4817
178        UCLA                            5-2-0    36.4556
179        Troy                            0-7-0    36.4208
180        Connecticut                     1-4-0    36.3864
181        Florida Atlantic                0-3-0    36.3677
182        Maryland                        2-5-0    36.3644
183        Lincoln MO                      0-2-0    36.0272
184        Arkansas                        8-0-0    35.976
185        Virginia                        4-2-0    35.941
186        Auburn                          7-1-0    35.832
187        Alabama-Birmingham              2-2-0    35.6945
188        North Carolina                  6-1-0    35.519
189        William Jewell                  0-1-0    35.5008
190        North Carolina St               1-3-0    35.472
191        Ohio State                      0-1-0    35.4084
192        Georgia Tech                    0-1-0    35.4084
193        Rutgers                         2-3-0    35.3655
194        Kentucky                        4-3-0    35.2812
195        Ohio State                      1-4-0    35.2246
196        Miami OH                        1-1-0    35.1444
197        Buffalo                         0-5-0    35.0795
198        Eastern Michigan                1-3-0    35.0686
199        Oregon St                       3-4-0    35.0557
200        Stanford                        5-0-0    34.9543
201        Memphis                         0-4-0    34.9467
202        Ball St                         3-2-0    34.8772
203        UCLA                            0-2-0    34.8521
204        Gardner-Webb                    0-2-0    34.8307
205        Virginia Tech                   5-1-0    34.7716
206        South Dakota St                 2-3-0    34.7671
207        Boise St                        7-0-0    34.7433
208        Tulane                          0-2-0    34.658
209        Tennessee                       5-1-0    34.4184
210        Akron                           0-2-0    34.3597
211        Truman St                       0-1-0    34.3374
212        Colorado St                     1-5-0    34.3353
213        Coastal Carolina                0-2-0    34.2861
214        Central Michigan                2-3-0    34.1573
215        SMU                             2-1-0    34.0543
216        Penn State                      4-1-0    33.9833
217        Minnesota                       3-4-0    33.9057
218        Michigan                        8-0-0    33.8926
219        Wake Forest                     4-2-0    33.8845
220        Louisiana Tech                  5-3-0    33.6931
221        Western Kentucky                0-1-0    33.6659
222        Wyoming                         4-2-0    33.4965
223        Bowling Green                   2-4-0    33.4782
224        Marshall                        4-1-0    33.3956
225        Fresno St                       2-5-0    33.2669
226        Illinois                        0-1-0    33.1153
227        Southern Cal                    6-1-0    33.0983
228        Missouri St                     0-1-0    33.0441
229        Air Force                       3-3-0    32.9185
230        Western Carolina                0-4-0    32.8959
231        Louisiana-Lafayette             3-4-0    32.8598
232        North Carolina A&T              0-1-0    32.8195
233        Tulsa                           4-2-0    32.7819
234        Georgia Southern                3-2-0    32.7527
235        Vanderbilt                      5-3-0    32.7189
236        Washington St                   3-2-0    32.7016
237        California                      5-1-0    32.6836
238        Stony Brook                     0-1-0    32.6788
239        Fordham                         0-2-0    32.6599
240        Central Conn St                 0-1-0    32.6503
241        Richmond                        0-1-0    32.6503
242        Bowling Green                   3-3-0    32.628
243        Duke                            2-3-0    32.5129
244        Connecticut                     4-3-0    32.4789
245        Ohio State                      5-1-0    32.4551
246        Middle Tennessee St             1-5-0    32.2065
247        Northwestern                    3-3-0    32.1912
248        Utah St                         4-3-0    32.1853
249        Florida Atlantic                0-2-0    32.1565
250        Penn State                      5-2-0    32.0347
251        Marshall                        0-2-0    32.002
252        Northern Illinois               5-2-0    31.963
253        Ball St                         0-1-0    31.9116
254        Maryland                        0-1-0    31.9116
255        Georgia Tech                    5-2-0    31.9071
256        Mississippi St                  4-1-0    31.9056
257        Army                            0-7-0    31.8505
258        Mississippi                     1-2-0    31.8102
259        San Jose St                     3-2-0    31.8077
260        Virginia Tech                   6-1-0    31.8032
261        New Mexico St                   2-4-0    31.7959
262        South Dakota                    0-1-0    31.7871
263        Miami OH                        0-4-0    31.7286
264        Southern Miss                   6-2-0    31.7152
265        Mississippi St                  3-3-0    31.5994
266        Boston College                  2-3-0    31.3719
267        Boston College                  0-1-0    31.3697
268        Florida                         6-2-0    31.2949
269        Tulsa                           4-3-0    31.2495
270        Bucknell                        0-1-0    31.2235
271        Central Michigan                1-5-0    31.2197
