Rank     Team                            W-L-T    Schedule Factor
1        Wake Forest                     0-1-0    75.1268
2        Duke                            0-1-0    75.1268
3        Florida                         0-1-0    75.1268
4        Northwestern                    0-1-0    65.0453
5        Illinois                        0-1-0    65.0453
6        Wofford                         0-1-0    59.2214
7        Florida                         0-1-0    57.1782
8        Texas                           0-1-0    56.1843
9        Mississippi St                  0-1-0    56.0439
10        San Diego St                    0-1-0    55.1697
11        Florida A&M                     0-1-0    55.1697
12        Purdue                          0-2-0    54.655
13        Louisiana-Monroe                0-2-0    54.5677
14        Mississippi                     0-1-0    54.2837
15        Chattanooga                     0-1-0    54.2837
16        Arkansas                        0-1-0    54.2837
17        Temple                          0-1-0    52.033
18        Mississippi St                  0-1-0    51.8701
19        New Mexico St                   0-1-0    51.8359
20        Iowa St                         0-2-0    51.6575
21        Temple                          0-1-0    51.4166
22        Miami FL                        0-1-0    51.4166
23        South Dakota St                 0-1-0    51.3769
24        Austin Peay                     0-1-0    51.3646
25        UCLA                            4-2-0    51.0741
26        Boston College                  0-1-0    50.598
27        Utah                            0-1-0    50.598
28        Tennessee                       0-1-0    50.2997
29        Minnesota                       0-2-0    50.1777
30        California                      0-5-0    50.068
31        Iowa                            0-1-0    49.7552
32        Western Carolina                0-2-0    48.9043
33        Stanford                        7-1-0    48.8925
34        The Citadel                     0-1-0    48.7155
35        Mississippi St                  1-3-0    48.2527
36        Oklahoma                        5-2-0    48.0453
37        Holy Cross                      0-1-0    47.4879
38        William & Mary                  0-1-0    47.4879
39        Nicholls St                     0-2-0    47.4489
40        Utah                            1-3-0    47.1204
41        Notre Dame                      5-1-0    46.9677
42        Arizona St                      3-1-0    46.8857
43        Central Michigan                0-1-0    46.8591
44        Arkansas                        0-1-0    46.5485
45        Kentucky                        0-2-0    46.1387
46        Mississippi                     2-2-0    46.0983
47        Nevada                          0-1-0    45.7114
48        Bethune-Cookman                 0-1-0    45.7114
49        Maryland                        0-1-0    45.7114
50        Texas                           5-2-0    45.5802
51        Indiana                         0-3-0    45.1696
52        Washington                      3-3-0    44.7668
53        Southern Cal                    0-1-0    44.6921
54        Penn State                      1-3-0    44.4075
55        Colorado                        0-4-0    44.3355
56        Georgia St                      0-2-0    44.3137
57        Middle Tennessee St             0-1-0    44.2039
58        Colorado                        0-1-0    43.9767
59        Boise St                        0-1-0    43.9767
60        Virginia                        0-1-0    43.6473
61        Auburn                          9-1-0    43.6012
62        California                      1-6-0    43.4953
63        Auburn                          3-1-0    43.1792
64        Michigan St                     6-1-0    43.0153
65        Washington St                   3-4-0    42.8049
66        Lamar                           0-2-0    42.7606
67        LSU                             2-3-0    42.6154
68        Colorado St                     0-2-0    42.5203
69        Akron                           0-1-0    42.4294
70        South Dakota                    0-1-0    42.3541
71        Towson                          0-1-0    42.3541
72        Kansas                          0-3-0    42.3376
73        Missouri                        6-1-0    42.2742
74        Utah                            4-3-0    41.9575
75        Texas Tech                      4-3-0    41.886
76        Eastern Kentucky                0-2-0    41.834
77        Southern Cal                    6-1-0    41.4851
78        Missouri Southern               0-1-0    41.431
79        Arizona St                      7-3-0    41.4082
80        Texas A&M                       3-2-0    41.3765
81        Nevada                          0-5-0    41.3653
82        Massachusetts                   0-1-0    41.2426
83        TCU                             1-4-0    41.1422
84        Florida St                      7-0-0    41.0968
85        Kentucky                        0-1-0    41.0376
86        Presbyterian                    0-1-0    41.0196
87        West Virginia                   1-3-0    41.0092
88        Delaware                        0-1-0    40.9054
89        Army                            0-1-0    40.9054
90        Virginia Tech                   4-3-0    40.903
91        Syracuse                        0-2-0    40.6483
92        Tennessee                       1-3-0    40.5404
93        Pittsburgh                      0-1-0    40.4089
94        Georgia                         3-3-0    40.3881
95        St Francis PA                   0-1-0    40.3655
96        Oklahoma St                     6-2-0    40.3466
97        Kansas St                       2-2-0    40.2757
98        North Carolina St               0-4-0    40.0843
99        Western Michigan                0-1-0    40.0714
100        Oregon St                       4-2-0    39.7932
101        Kentucky                        0-4-0    39.6513
102        Nebraska                        4-1-0    39.4108
103        Maryland                        0-1-0    39.3823
104        Washington St                   3-3-0    39.2875
105        Baylor                          3-1-0    39.1714
106        Wisconsin                       3-3-0    39.1537
107        Georgia                         5-2-0    39.0778
108        South Carolina                  8-0-0    39.0602
109        Eastern Michigan                0-1-0    38.8564
110        Butler                          0-1-0    38.7627
111        Florida A&M                     0-1-0    38.7627
112        Kansas                          0-2-0    38.643
113        Murray St                       0-1-0    38.5371
114        Middle Tennessee St             0-1-0    38.515
115        Wake Forest                     0-2-0    38.3279
116        Iowa St                         1-5-0    38.184
117        Florida                         1-3-0    38.132
118        UTEP                            0-4-0    38.0776
119        Lafayette                       0-1-0    37.9948
120        Maine                           0-1-0    37.9948
121        Ohio U.                         0-3-0    37.9685
122        Oregon                          4-2-0    37.9162
123        Oregon                          7-0-0    37.8399
124        Stanford                        4-2-0    37.7657
125        Arizona                         5-2-0    37.7657
126        Virginia                        2-5-0    37.7511
127        TCU                             0-1-0    37.7187
128        Purdue                          0-3-0    37.6933
129        West Virginia                   0-2-0    37.657
130        Nebraska                        5-3-0    37.6305
131        Michigan                        2-3-0    37.4518
132        Alabama                         3-1-0    37.4424
133        Northern Colorado               0-1-0    37.4136
134        Appalachian St                  0-2-0    37.3493
135        Kansas                          3-4-0    37.1523
136        Ohio State                      7-1-0    37.1461
137        Southern Miss                   0-2-0    37.1061
138        North Carolina                  2-3-0    37.064
139        Michigan                        5-2-0    37.0319
140        South Florida                   0-2-0    36.9955
141        Oregon St                       3-4-0    36.9652
142        Connecticut                     2-5-0    36.7868
143        LSU                             8-0-0    36.7797
144        Wyoming                         0-2-0    36.6661
145        McNeese St                      0-1-0    36.5664
146        South Carolina                  3-2-0    36.547
147        Louisiana-Lafayette             0-1-0    36.522
148        Illinois                        3-4-0    36.3479
149        Boise St                        2-4-0    36.2741
150        Arizona                         3-3-0    36.2154
151        Iowa                            4-2-0    36.1729
152        Northwestern                    3-3-0    35.8204
153        Clemson                         7-1-0    35.817
154        West Virginia                   3-3-0    35.7785
155        Northwestern St                 0-1-0    35.7634
156        Georgia Tech                    2-4-0    35.7286
157        Massachusetts                   0-5-0    35.5879
158        Elon                            0-1-0    35.5851
159        Kansas St                       6-3-0    35.5839
160        Baylor                          8-1-0    35.4895
161        Boston College                  5-1-0    35.4894
162        Northwestern                    0-1-0    35.46
163        Indiana                         0-1-0    35.46
164        Tennessee Tech                  0-1-0    35.46
165        Rutgers                         1-4-0    35.4556
166        Iowa                            4-2-0    35.3321
167        Akron                           0-1-0    35.3266
168        Idaho                           0-2-0    35.2672
169        Vanderbilt                      3-2-0    35.2411
170        San Jose St                     3-3-0    35.2411
171        TCU                             3-3-0    35.1773
172        Florida Atlantic                0-1-0    35.1074
173        Wake Forest                     1-3-0    34.8577
174        Arkansas St                     0-2-0    34.7371
175        Northern Arizona                0-2-0    34.6343
176        Purdue                          0-2-0    34.6218
177        Texas St-San Marcos             0-1-0    34.4172
178        Pittsburgh                      3-2-0    34.3706
179        Virginia Tech                   4-2-0    34.3437
180        Indiana St                      0-1-0    34.328
181        Tennessee                       4-3-0    34.1842
182        Rice                            0-1-0    34.1199
183        Alcorn St                       0-1-0    34.1199
184        Troy                            0-1-0    34.1199
185        San Diego St                    4-3-0    34.018
186        Minnesota                       5-1-0    34.0052
187        Arkansas                        3-3-0    33.9049
188        Arkansas                        0-4-0    33.7331
189        Wake Forest                     3-2-0    33.621
190        Navy                            3-2-0    33.6025
191        Lindenwood                      0-1-0    33.568
192        Colorado                        4-3-0    33.559
193        Vanderbilt                      6-2-0    33.514
194        Texas A&M                       6-2-0    33.4918
195        Minnesota                       0-1-0    33.4801
196        Michigan                        0-1-0    33.4801
197        UW-Stevens Point                0-1-0    33.4055
198        UW-La Crosse                    0-1-0    33.4055
199        Toledo                          2-3-0    33.3893
200        Oklahoma St                     4-1-0    33.3819
201        Missouri                        6-1-0    33.3297
202        Maryland                        3-1-0    33.1479
203        Pittsburgh                      4-3-0    33.0091
204        Tulsa                           0-2-0    33.0038
205        Southern Cal                    4-2-0    33.0006
206        Texas                           3-2-0    32.9173
207        Ohio State                      5-1-0    32.863
208        South Florida                   1-2-0    32.786
209        TAMU-Kingsville                 0-1-0    32.7761
210        Alabama-Birmingham              1-6-0    32.7392
211        Brigham Young                   3-3-0    32.6678
212        St John's MN                    0-1-0    32.6628
213        Louisiana-Monroe                4-1-0    32.538
214        Virginia                        0-3-0    32.2507
215        Air Force                       0-5-0    32.1469
216        Furman                          0-2-0    32.1426
217        Purdue                          1-4-0    32.0751
218        Notre Dame                      4-3-0    32.0186
219        Northwestern                    2-2-0    31.962
220        Illinois                        1-3-0    31.9432
221        Northern Iowa                   0-1-0    31.9079
222        Alabama                         8-1-0    31.8852
223        Boston College                  2-4-0    31.8218
224        UCLA                            6-1-0    31.817
225        Iowa St                         2-2-0    31.8138
226        Syracuse                        3-2-0    31.7809
227        North Carolina St               3-5-0    31.7041
228        Texas Tech                      4-2-0    31.6853
229        Brigham Young                   5-2-0    31.6611
230        Connecticut                     1-4-0    31.5727
231        Rhode Island                    0-2-0    31.4119
232        Tennessee-Martin                2-3-0    31.3163
233        Minnesota                       3-1-0    31.178
234        Tarleton St                     0-1-0    31.1517
235        Valdosta St                     0-1-0    31.1517
236        Shorter                         0-1-0    31.1517
237        Indiana                         5-3-0    30.7399
238        South Florida                   1-4-0    30.6422
239        Arkansas St                     0-1-0    30.5816
240        Clemson                         4-1-0    30.5389
241        UNLV                            3-3-0    30.5133
242        Nebraska-Kearney                0-2-0    30.4912
243        Yale                            0-1-0    30.4825
244        Hawai`i                         1-5-0    30.4023
245        Illinois St                     0-6-0    30.3578
246        Tulsa                           1-5-0    30.3485
247        Sacramento St                   0-3-0    30.2988
248        Virginia                        0-1-0    30.2648
249        Florida Int'l                   0-3-0    30.2619
250        Mississippi                     6-2-0    30.2345
251        Oklahoma                        6-0-0    30.1821
252        Duke                            5-0-0    30.008
253        Utah St                         4-3-0    29.9947
254        Kent St                         0-2-0    29.8123
255        Akron                           2-3-0    29.5501
256        New Mexico St                   0-4-0    29.5413
257        Arkansas St                     3-2-0    29.4817
258        San Jose St                     3-3-0    29.4728
259        Miami FL                        3-2-0    29.3493
260        Prairie View A&M                0-1-0    29.1997
261        Eastern Michigan                0-6-0    29.1739
262        Miami OH                        0-1-0    29.1515
263        Houston                         3-3-0    29.1189
264        Southern Miss                   0-1-0    29.1122
265        Kent St                         2-3-0    28.9588
266        North Dakota                    0-1-0    28.8799
267        Weber St                        0-1-0    28.8799
268        SMU                             0-1-0    28.7433
269        Hawai`i                         0-1-0    28.7216
270        Penn State                      6-2-0    28.7079
271        Upper Iowa                      0-1-0    28.6768
272        Fairmont St                     0-1-0    28.5576
273        Fresno St                       7-0-0    28.4927
274        South Alabama                   4-2-0    28.4568
275        Savannah St                     0-3-0    28.2962
276        SMU                             3-3-0    28.2692
277        Central Florida                 5-1-0    28.1975
278        SMU                             2-3-0    28.1729
279        Hawai`i                         0-5-0    28.1413
280        UNC-Charlotte                   0-1-0    28.0829
281        Delaware St                     0-3-0    27.9196
282        Western Michigan                1-5-0    27.8968
283        Tiffin                          0-1-0    27.8574
284        Central St OH                   0-2-0    27.8249
285        Florida Int'l                   0-2-0    27.811
286        Rhode Island                    0-2-0    27.7961
287        Colorado St                     5-2-0    27.7579
288        North Carolina                  5-3-0    27.7211
289        Air Force                       2-5-0    27.655
290        Miami OH                        0-5-0    27.5786
291        Villanova                       2-4-0    27.556
292        Jackson St                      0-1-0    27.4706
293        Texas-San Antonio               3-3-0    27.3316
294        Temple                          1-4-0    27.3308
295        New Mexico                      1-5-0    27.2899
296        Southern Miss                   1-4-0    27.2566
297        UC-Davis                        0-1-0    27.2413
298        Indiana St                      0-2-0    27.2394
299        Washington                      6-1-0    27.1496
300        Western Michigan                0-1-0    27.0293
301        Buffalo                         0-1-0    26.9159
302        Eastern Michigan                0-1-0    26.9159
303        East Carolina                   4-2-0    26.9029
304        Northern Illinois               5-0-0    26.8974
305        Toledo                          5-1-0    26.8436
306        Florida Int'l                   0-4-0    26.673
307        Weber St                        0-5-0    26.5718
308        Central Florida                 7-0-0    26.4172
309        Weber St                        0-2-0    26.3379
310        Northern Arizona                0-1-0    26.3344
311        Houston Baptist                 0-2-0    26.3114
312        Texas-San Antonio               4-2-0    26.242
313        Michigan Tech                   0-1-0    26.2166
314        Saginaw Valley St               0-1-0    26.2166
315        Memphis                         1-4-0    26.0881
316        Sam Houston St                  0-5-0    26.079
317        New Mexico                      2-4-0    26.0723
318        South Alabama                   2-4-0    25.9296
319        Texas St-San Marcos             0-1-0    25.8326
320        Northern Iowa                   3-2-0    25.8122
321        Duquesne                        0-1-0    25.764
322        Wagner                          2-0-0    25.764
323        Kentucky                        2-3-0    25.7191
324        Wyoming                         1-3-0    25.6545
325        Akron                           3-2-0    25.5696
326        Northern St SD                  0-1-0    25.5188
327        Eastern Kentucky                0-1-0    25.4796
328        Eastern Illinois                6-1-0    25.4774
329        Bucknell                        0-1-0    25.3424
330        Elon                            0-1-0    25.1738
331        Navy                            0-2-0    25.1193
332        James Madison                   0-4-0    25.0799
333        Western Illinois                1-4-0    24.9853
334        Missouri St                     2-4-0    24.86
335        Florida                         3-3-0    24.8472
336        Austin Peay                     0-7-0    24.8343
337        Georgia St                      0-7-0    24.7311
338        Idaho St                        0-3-0    24.6871
339        Idaho                           0-5-0    24.6639
340        Toledo                          0-1-0    24.5791
341        Tulsa                           2-2-0    24.5317
342        Nebraska-Kearney                0-1-0    24.4995
343        SE Missouri St                  1-5-0    24.4861
344        Georgia Tech                    5-2-0    24.4723
345        Adams St                        0-1-0    24.4356
346        Buffalo                         3-4-0    24.4279
347        Harvard                         4-1-0    24.3248
348        Murray St                       1-4-0    24.1715
349        Colgate                         0-2-0    24.0449
350        East Carolina                   6-1-0    23.9638
351        South Florida                   0-2-0    23.8861
352        Albany NY                       0-5-0    23.8291
