Rank     Team                            W-L-T    Schedule Factor
161        Post Field                      0-1-0    0.0
162        Auburn                          0-3-0    0.0
163        Colorado                        0-1-0    0.0
164        Oregon                          1-0-0    0.0
165        Omaha Balloon                   0-1-0    0.0
166        Lehigh                          0-1-0    0.0
167        Washington (Missouri)           2-0-0    0.0
168        Oregon State                    1-3-0    0.0
169        Balboa NTS                      0-1-0    0.0
170        Camp Gordon                     1-0-0    0.0
171        Oklahoma State                  0-1-0    0.0
172        Sewanee                         0-1-0    0.0
173        Chanute Field                   0-1-0    0.0
174        Virginia Military Institute     1-0-0    0.0
175        Marion                          0-1-0    0.0
176        nd Developmemt Regiment         1-0-0    0.0
177        Vancouver Barracks              0-1-0    0.0
178        Morgan                          0-1-0    0.0
179        Oregon                          2-0-0    0.0
180        St. Mary's                      0-1-0    0.0
181        Tulsa                           0-1-0    0.0
182        Fort Des Moines                 0-1-0    0.0
183        Camp Devens                     1-0-0    0.0
184        Iowa                            0-0-1    0.0
185        Colorado College                0-1-0    0.0
186        Philadelphia Naval Yard         1-0-0    0.0
187        Multnomah A.C.                  1-0-0    0.0
188        Virginia Tech                   1-0-0    0.0
189        South Carolina                  1-0-0    0.0
190        U.S. Marines                    0-1-0    0.0
191        Northern Colorado               1-0-0    0.0
192        Oregon                          1-1-0    0.0
193        Oregon State                    0-1-0    0.0
194        Georgetown (Kentucky)           0-1-0    0.0
195        Multnomah A.C.                  1-0-0    0.0
196        Rutgers                         1-0-0    0.0
197        St. Thomas                      0-1-0    0.0
198        Gallaudet                       0-1-0    0.0
199        Illinois                        1-0-0    0.0
200        Phillips                        0-1-0    0.0
201        Colorado                        2-0-0    0.0
202        Nebraska                        2-0-0    0.0
203        St. John's (Maryland)           0-1-0    0.0
204        Charleston Navy                 1-0-0    0.0
205        Drake                           1-0-0    0.0
206        Presbyterian                    1-0-0    0.0
207        Sewanee                         1-0-0    0.0
208        Mare Island Marines             6-0-0    0.0
209        Indiana                         0-1-0    0.0
210        Kentucky                        0-1-0    0.0
211        Missouri State                  0-1-0    0.0
212        Maryland                        2-0-0    0.0
213        Citadel                         0-1-1    0.0
214        Carleton-St. Olaf               0-1-0    0.0
215        Virginia Military Institute     0-1-0    0.0
216        Drake                           0-1-0    0.0
217        Denver                          2-0-0    0.0
218        Auburn                          1-0-0    0.0
