Rank     Team                            W-L-T    Rating
161        Washington St                   2-2-0    36.4681
162        San Diego St                    3-4-0    36.4125
163        Houston                         4-1-0    36.3957
164        Montana                         5-0-0    36.3884
165        Utah St                         5-1-0    36.3674
166        Villanova                       6-0-0    36.3009
167        Oklahoma St                     0-1-0    36.1192
168        Nevada                          3-3-0    35.9568
169        Vanderbilt                      3-3-0    35.784
170        Texas Tech                      2-3-0    35.6996
171        Navy                            3-1-0    35.533
172        Jacksonville St                 4-0-0    35.3037
173        Colorado                        1-7-0    35.1505
174        William & Mary                  4-1-0    35.0511
175        Iowa St                         1-6-0    35.0498
176        Northern Illinois               4-1-0    35.0254
177        Youngstown St                   2-2-0    34.9719
178        Memphis                         3-1-0    34.933
179        Washington St                   1-7-0    34.6684
180        Ohio Dominican                  3-1-0    34.514
181        Central Arkansas                5-1-0    34.4777
182        Texas-San Antonio               2-2-0    34.4673
183        Western Kentucky                3-4-0    34.3522
184        Oregon St                       3-5-0    34.3437
185        East Carolina                   4-3-0    34.2768
186        Sam Houston St                  4-1-0    34.1849
187        Bowling Green                   3-2-0    34.0752
188        Southern Oregon                 4-1-0    34.0567
189        Wake Forest                     1-1-0    33.9309
190        Alabama-Birmingham              3-3-0    33.8253
191        Idaho St                        5-0-0    33.7996
192        Chattanooga                     4-1-0    33.7499
193        TAMU-Commerce                   6-1-0    33.7491
194        Coastal Carolina                7-0-0    33.6406
195        Pittsburgh                      2-4-0    33.4862
196        Houston                         3-2-0    33.399
197        Ohio U.                         4-2-0    33.3394
198        Temple                          3-3-0    33.2989
199        Oregon St                       2-2-0    33.2374
200        Northwestern                    2-4-0    33.0925
201        Texas St-San Marcos             5-2-0    32.9894
202        San Diego St                    4-0-0    32.9855
203        Illinois                        2-4-0    32.9634
204        Angelo St                       4-0-0    32.6695
205        UTEP                            4-2-0    32.6281
206        Syracuse                        2-0-0    32.5
207        Rice                            4-3-0    32.455
208        Florida Atlantic                3-3-0    32.3553
209        Eastern Washington              6-0-0    32.2914
210        Kansas                          0-2-0    32.2189
211        James Madison                   3-1-0    32.2061
212        Indiana St                      4-2-0    32.1547
