Rank     Team                            W-L-T    Rating
162        Miami FL                        1-3-0    34.2233
163        Sam Houston St                  4-0-0    34.0517
164        Eastern Michigan                5-1-0    34.0449
165        Purdue                          5-2-0    33.874
166        Louisville                      0-1-0    33.8283
167        Kent St                         4-1-0    33.7974
168        Midwestern St                   4-1-0    33.6938
169        South Dakota                    6-0-0    33.6279
170        Mississippi St                  3-3-0    33.2661
171        Indiana St                      3-1-0    33.2388
172        Washburn                        5-2-0    33.1867
173        Central Missouri                5-0-0    33.0263
174        Mississippi                     0-3-0    32.9789
175        Arizona St                      1-4-0    32.8981
176        Hawai`i                         4-3-0    32.8877
177        Boston College                  2-3-0    32.7719
178        Rutgers                         2-3-0    32.7655
179        Miami OH                        1-1-0    32.6444
180        Maine                           5-3-0    32.6239
181        Kansas                          2-5-0    32.4236
182        Rice                            4-1-0    32.3518
183        Vanderbilt                      1-2-0    32.1659
184        Chattanooga                     3-2-0    32.1323
185        Ball St                         3-1-0    31.9344
186        North Texas                     0-1-0    31.8682
187        California                      0-1-0    31.7135
188        Texas                           0-1-0    31.6444
189        Western Kentucky                4-0-0    31.6111
190        Navy                            3-3-0    31.5453
191        Wake Forest                     2-4-0    31.5229
192        Chattanooga                     2-2-0    31.4909
193        Wofford                         4-1-0    31.3157
194        North Carolina                  1-4-0    31.2663
195        Air Force                       4-3-0    31.2209
196        Louisiana Tech                  3-2-0    31.2003
197        Sam Houston St                  0-1-0    31.1573
198        Baylor                          1-3-0    31.0804
199        Florida Int'l                   4-1-0    30.8326
200        Nevada                          2-4-0    30.641
201        Wyoming                         4-2-0    30.3298
202        Eastern Washington              4-3-0    30.309
203        Purdue                          2-4-0    30.256
204        Miami OH                        3-2-0    30.1458
205        Stephen F. Austin               0-1-0    30.0111
206        Iowa                            1-3-0    29.9613
207        Arkansas St                     4-1-0    29.9579
208        Iowa St                         0-1-0    29.9282
209        Louisville                      3-3-0    29.8855
210        Presbyterian                    4-1-0    29.6999
211        NW Missouri St                  6-2-0    29.6467
212        Youngstown St                   2-2-0    29.6464
213        Bowling Green                   2-4-0    29.4782
214        Bowling Green                   3-3-0    29.4613
215        Cal Poly SLO                    4-1-0    29.4347
216        Tennessee-Martin                4-1-0    29.3828
217        Vanderbilt                      0-2-0    29.3759
218        Wofford                         4-3-0    29.2629
219        San Diego                       5-0-0    29.2241
220        Utah                            4-3-0    29.1304
221        St Xavier                       8-0-0    29.0824
222        Kentucky                        1-1-0    28.9752
223        Central Arkansas                5-0-0    28.9538
224        East Carolina                   3-3-0    28.8904
225        Louisiana-Monroe                2-3-0    28.8549
226        Lehigh                          5-1-0    28.8296
227        Delta St                        7-0-0    28.7907
228        Tennessee Tech                  4-0-0    28.5376
229        St Thomas                       8-0-0    28.5039
230        Samford                         4-1-0    28.4963
231        Western Michigan                2-5-0    28.4385
232        Ohio State                      1-4-0    28.4246
233        Western Kentucky                3-3-0    28.3551
234        Northern Iowa                   4-3-0    28.3534
235        San Diego St                    0-1-0    28.3269
236        Ashland                         4-1-0    28.2913
237        Louisiana-Lafayette             3-4-0    28.2884
238        Stony Brook                     6-1-0    28.2879
239        UNLV                            2-3-0    28.0931
240        Maryland                        2-5-0    28.0786
241        Arizona                         1-5-0    28.0331
242        Cincinnati                      0-1-0    27.7812
243        Winona St                       4-0-0    27.6977
244        Fresno St                       2-5-0    27.6955
245        Wyoming                         4-3-0    27.6725
246        Duke                            1-6-0    27.6386
247        Bucknell                        3-1-0    27.5959
248        Missouri Western                5-1-0    27.5847
249        Towson                          5-2-0    27.4481
250        Delaware                        5-1-0    27.4242
251        Central Michigan                2-3-0    27.3573
252        Temple                          4-2-0    27.2208
253        Wayne St MI                     8-2-0    27.1054
254        UCLA                            1-4-0    26.9709
255        Stony Brook                     3-2-0    26.9278
256        Bethune-Cookman                 6-1-0    26.9236
257        Indianapolis                    5-1-0    26.8869
258        Grand Valley St                 5-1-0    26.7357
259        Tennessee                       0-3-0    26.6884
260        West Texas A&M                  7-1-0    26.6757
261        Florida                         0-1-0    26.6413
262        Colorado St-Pueblo              5-0-0    26.5694
263        Lehigh                          6-0-0    26.5328
264        Minn St-Mankato                 5-0-0    26.4491
265        Minnesota                       3-4-0    26.3343
266        Indiana St                      3-2-0    26.3058
267        North Central                   7-0-0    26.2871
268        Indiana                         1-6-0    26.1415
269        Georgetown KY                   7-0-0    26.134
270        Western Illinois                2-2-0    26.0222
271        South Dakota St                 2-3-0    25.9671
272        Minnesota-Duluth                6-1-0    25.9384
273        Furman                          3-2-0    25.8737
274        Yale                            3-1-0    25.7971
275        Washington                      1-5-0    25.7775
276        East Carolina                   2-3-0    25.7333
277        North Carolina St               1-3-0    25.722
278        Washburn                        5-1-0    25.6042
279        Duquesne                        5-0-0    25.5377
280        Florida Int'l                   4-3-0    25.2786
281        Utah St                         3-3-0    25.2758
282        Nebraska-Kearney                5-0-0    25.189
283        Humboldt St                     4-0-0    24.979
284        Western Oregon                  4-0-0    24.6899
285        Wheaton                         5-0-0    24.437
286        Old Dominion                    4-2-0    24.3901
287        Connecticut                     1-4-0    24.3864
288        Kent St                         0-1-0    24.3351
289        Montana                         3-3-0    24.0384
290        Holy Cross                      4-1-0    24.0383
291        Winston-Salem St                7-1-0    24.0039
292        Southern Utah                   3-4-0    23.9685
293        New Mexico St                   2-4-0    23.9626
294        Murray St                       3-2-0    23.9025
295        St Cloud St                     5-1-0    23.8249
296        Washington St                   1-5-0    23.7926
297        Michigan Tech                   3-1-0    23.7841
298        Hawai`i                         2-4-0    23.7693
299        Florida                         0-1-0    23.476
300        Liberty                         5-1-0    23.3568
301        Louisiana-Monroe                2-4-0    23.3204
302        Eastern Michigan                1-3-0    23.3186
303        James Madison                   4-4-0    23.3039
304        Ferris St                       5-1-0    23.2833
305        Montana St                      6-1-0    23.2022
306        Alabama-Birmingham              2-2-0    23.1945
307        Eastern Kentucky                4-3-0    23.1558
308        Missouri St                     0-2-0    23.1332
309        Clemson                         2-3-0    23.0786
310        Hampton                         5-0-0    23.0561
311        Minnesota-Duluth                5-0-0    23.0104
312        The Citadel                     2-3-0    22.732
313        William & Mary                  2-3-0    22.6443
314        Northwestern St                 0-2-0    22.6255
315        Kent St                         0-2-0    22.5267
316        Linfield                        6-0-0    22.4492
317        Norfolk St                      4-0-0    22.3577
318        Fresno St                       2-3-0    22.3184
319        Alabama St                      4-0-0    22.1751
320        Indiana                         0-3-0    22.1663
321        Idaho                           1-2-0    22.1492
322        UW-Whitewater                   9-0-0    22.1142
323        Jackson St                      5-2-0    22.0801
324        Valdosta St                     3-1-0    22.0249
325        Colorado St                     1-5-0    22.0019
326        Texas St-San Marcos             4-2-0    21.968
327        Drake                           6-0-0    21.9442
328        Jacksonville FL                 5-0-0    21.8585
329        Colgate                         4-1-0    21.838
330        Duke                            2-3-0    21.7129
331        Kansas                          0-3-0    21.7075
332        Brown                           3-1-0    21.6481
333        Rice                            0-5-0    21.6365
334        Tennessee                       0-1-0    21.6041
335        Cumberlands KY                  4-1-0    21.5313
336        Albany NY                       3-2-0    21.4644
337        Portland St                     3-2-0    21.455
338        Brown                           3-1-0    21.3721
339        Winston-Salem St                6-0-0    21.3699
340        Kentucky                        0-3-0    21.3683
341        Minnesota                       0-1-0    21.3269
342        Northern Michigan               3-2-0    21.2994
343        UC-Davis                        3-1-0    21.2992
344        Mississippi                     1-2-0    21.1436
345        Colorado St-Pueblo              6-1-0    21.1128
346        Holy Cross                      2-2-0    21.0677
347        Oregon St                       0-2-0    21.0217
348        San Jose St                     2-4-0    20.9951
349        Georgetown DC                   4-0-0    20.932
350        Iowa                            0-2-0    20.8926
351        Dartmouth                       4-1-0    20.7834
352        North Carolina                  0-1-0    20.6839
353        Central Conn St                 0-1-0    20.6503
354        Nebraska-Kearney                5-2-0    20.5031
355        Jacksonville St                 4-2-0    20.4054
356        Midwestern St                   6-0-0    20.3638
357        Curry                           2-0-0    20.3624
358        Southern Illinois               2-4-0    20.3545
359        Northwestern St                 3-1-0    20.345
360        Eastern Kentucky                3-1-0    20.3372
361        Texas-San Antonio               0-1-0    20.3125
362        Abilene Christian               5-1-0    20.2572
363        Northern Arizona                3-3-0    20.0576
364        New Mexico St                   2-3-0    20.0382
365        Mary Hardin-Baylor              8-1-0    19.9955
366        Doane                           4-0-0    19.9636
367        Emporia St                      3-3-0    19.9016
368        Southern Illinois               2-2-0    19.8887
369        Marian IN                       4-0-0    19.8503
370        Albany NY                       5-2-0    19.822
371        Wesley                          6-0-0    19.8087
372        Miami OH                        0-1-0    19.7799
373        Arkansas St                     0-1-0    19.7475
374        Shepherd                        6-0-0    19.7086
375        Rhode Island                    3-2-0    19.5395
376        Colorado St                     2-4-0    19.524
377        North Greenville                6-0-0    19.436
378        Salisbury                       7-0-0    19.4198
379        Bemidji St                      5-1-0    19.4036
380        Weber St                        3-2-0    19.3906
381        Idaho                           1-5-0    19.345
382        UTEP                            2-4-0    19.3193
383        Truman St                       2-2-0    19.3159
384        Cal Poly SLO                    2-4-0    19.2096
385        Norfolk St                      5-2-0    19.1075
386        Harvard                         4-1-0    18.7108
387        Jacksonville St                 3-2-0    18.6952
388        Washington St                   0-1-0    18.6595
389        Wayne St MI                     4-2-0    18.6529
390        Montana St                      4-2-0    18.5267
391        Marshall                        3-3-0    18.3996
392        Florida Atlantic                0-3-0    18.3677
393        SE Louisiana St                 3-1-0    18.3575
394        Elon                            2-3-0    18.3362
395        Massachusetts                   3-3-0    18.3177
396        Hillsdale                       5-1-0    18.05
397        Grand Valley St                 3-2-0    18.0118
398        Sacramento St                   2-3-0    17.9643
399        Cornell NY                      3-2-0    17.9017
400        Howard                          2-0-0    17.8947
401        Pennsylvania                    2-1-0    17.854
402        Central Missouri                3-2-0    17.6673
403        Azusa Pacific                   7-1-0    17.5893
404        West Alabama                    6-1-0    17.5747
405        Youngstown St                   4-2-0    17.5516
406        San Jose St                     0-1-0    17.4295
407        Missouri Western                4-1-0    17.3979
408        Minnesota                       0-4-0    17.1614
409        Southern Utah                   3-1-0    17.1583
410        Penn State                      0-1-0    16.8027
411        North Carolina Central          0-1-0    16.7812
412        South Carolina St               4-1-0    16.7677
413        Akron                           1-3-0    16.7193
414        Michigan Tech                   4-2-0    16.5541
415        Central Michigan                1-5-0    16.553
416        North Alabama                   5-2-0    16.4957
417        Mount Union                     4-0-0    16.4797
418        Lenoir-Rhyne                    4-0-0    16.399
419        Missouri St                     2-3-0    16.255
420        Maryland                        0-4-0    16.25
421        Albany St GA                    5-1-0    16.2022
422        Illinois                        0-1-0    16.1153
423        Mount Union                     10-1-0    16.0534
424        Youngstown St                   0-1-0    16.0305
425        Samford                         2-3-0    16.0057
426        Bucknell                        3-1-0    15.9502
427        Stephen F. Austin               3-2-0    15.8327
428        Chadron St                      4-2-0    15.686
429        Texas Tech                      0-2-0    15.6859
430        Western Kentucky                0-1-0    15.6659
431        Tennessee Tech                  0-1-0    15.6024
432        Northern Illinois               0-1-0    15.5219
433        Virginia                        0-1-0    15.494
434        Miami OH                        0-4-0    15.4786
435        Concord                         4-0-0    15.4174
436        Hillsdale                       3-2-0    15.4045
437        Saginaw Valley St               4-1-0    15.3569
438        Alabama St                      0-1-0    15.3542
439        Bryant                          3-2-0    15.2604
440        Ball St                         0-2-0    15.2583
441        Samford                         0-1-0    14.823
442        Richmond                        1-3-0    14.8057
443        Colorado                        1-4-0    14.6395
444        Syracuse                        1-4-0    14.6366
445        South Alabama                   5-1-0    14.5938
446        Campbell                        4-1-0    14.5707
447        New Mexico                      1-4-0    14.549
448        Idaho St                        2-2-0    14.5047
449        Missouri Valley                 5-1-0    14.4104
450        Central Washington              3-2-0    14.2649
451        Jacksonville FL                 2-3-0    14.2495
452        South Carolina St               3-2-0    14.1154
453        New Mexico                      0-5-0    14.1015
454        Angelo St                       4-1-0    13.9631
455        Urbana                          4-1-0    13.9369
456        Dakota Wesleyan                 3-1-0    13.9228
457        Central Florida                 0-6-0    13.7958
458        St Francis IN                   6-1-0    13.7698
459        Duquesne                        4-2-0    13.7496
460        Central Arkansas                4-4-0    13.7495
461        Kent St                         1-3-0    13.739
462        Saginaw Valley St               3-3-0    13.697
463        North Carolina A&T              3-1-0    13.6685
464        Florida Int'l                   0-1-0    13.6643
465        North Dakota                    5-1-0    13.5869
466        Illinois St                     2-3-0    13.5389
467        West Texas A&M                  1-2-0    13.5368
468        Eastern Washington              2-2-0    13.5242
469        St Xavier                       6-0-0    13.4905
470        California PA                   6-0-0    13.4877
471        Marian IN                       8-1-0    13.4867
472        Sioux Falls                     4-1-0    13.4833
473        Indiana                         0-2-0    13.4166
474        Troy                            3-2-0    13.3718
475        Coastal Carolina                4-1-0    13.3571
476        Oregon St                       0-3-0    13.3006
477        Drake                           3-1-0    13.2768
478        Morningside                     6-0-0    13.1211
479        Grand View                      4-1-0    13.0967
480        Liberty                         2-3-0    13.0812
481        Brown                           1-0-0    13.0
482        North Dakota St                 1-0-0    13.0
483        Mayville St                     1-0-0    13.0
484        Tulane                          1-4-0    12.9811
485        Alabama-Birmingham              0-1-0    12.9569
486        Kansas                          0-2-0    12.93
487        Humboldt St                     5-1-0    12.9172
488        Monmouth NJ                     5-0-0    12.8983
489        Brown                           0-1-0    12.8956
490        New Hampshire                   3-4-0    12.8901
491        Murray St                       4-1-0    12.8817
492        Middle Tennessee St             1-5-0    12.8732
493        Kutztown                        6-0-0    12.8515
494        Stephen F. Austin               3-2-0    12.6948
495        Missouri Southern               2-3-0    12.6126
496        Appalachian St                  2-3-0    12.5921
497        Michigan St                     0-1-0    12.5841
498        Western Illinois                0-3-0    12.5813
499        Coastal Carolina                3-1-0    12.4757
500        Richmond                        2-3-0    12.4619
501        WV Wesleyan                     5-0-0    12.4562
502        Florida A&M                     3-3-0    12.4102
503        Mary Hardin-Baylor              4-0-0    12.4102
