Rank   Team                            W-L-T     Rating
 152   Connecticut                     2-9-0    29.0254
 153   James Madison                   8-3-0    28.6109
 154   Harvard                         9-0-0    28.3904
 155   Kent St                         2-9-0    27.9569
 156   Cal Poly SLO                    6-5-0    27.3208
 157   Richmond                        7-4-0    26.9872
 158   Eastern Kentucky                9-3-0    26.8925
 159   William & Mary                  7-4-0    26.3055
 160   Valdosta St                     8-2-0    26.1417
 161   North Alabama                   9-1-0    26.0183
 162   Idaho                           1-10-0    25.8779
 163   Charleston Southern             8-4-0    25.4213
 164   Colorado St-Pueblo              10-1-0    25.4035
 165   North Carolina A&T              9-2-0    25.1898
 166   UNLV                            2-11-0      25.03
 167   Troy                            3-9-0    24.9142
 168   Bryant                          8-2-0    24.5948
 169   Western Carolina                7-5-0    24.5581
 170   The Citadel                     4-7-0    24.3141
 171   Harding                         9-1-0     24.284
 172   Tennessee-Martin                5-6-0     23.684
 173   Alcorn St                       9-2-0    23.4006
 174   Tarleton St                     5-5-0    23.3584
 175   New Mexico St                   2-10-0    23.2532
 176   Angelo St                       8-2-0    22.9992
 177   Ohio Dominican                  9-1-0    22.7169
 178   Sacred Heart                    9-2-0    22.3865
 179   Wofford                         5-5-0    22.2443
 180   Stony Brook                     5-6-0    22.0223
 181   Yale                            8-1-0    21.9338
 182   Ashland                         8-2-0     21.756
 183   South Dakota                    2-9-0    21.6909
 184   Lenoir-Rhyne                    11-0-0     21.686
 185   Northern Arizona                7-4-0    21.6435
 186   Abilene Christian               6-6-0    21.5232
 187   John Carroll                    9-1-0    21.1026
 188   Midwestern St                   6-4-0    20.9808
 189   Sacramento St                   6-5-0    20.3177
 190   SE Missouri St                  5-6-0    19.9806
 191   South Carolina St               7-4-0    19.7525
 192   Albany NY                       6-5-0    19.6862
 193   Georgia St                      1-11-0    19.6452
 194   Dartmouth                       7-2-0     19.588
 195   West Georgia                    9-2-0    19.5812
 196   Bethune-Cookman                 8-3-0    19.5593
 197   Bucknell                        8-2-0    19.3539
 198   Carroll MT                      9-1-0    19.3194
 199   Weber St                        2-9-0    19.2392
 200   Mary Hardin-Baylor              10-0-0    19.1332
 201   Mercer                          6-5-0    18.9535
 202   Wesley                          8-1-0    18.6749
 203   Concord                         11-0-0    18.3997
 204   Duquesne                        5-6-0    18.3082
 205   SMU                             0-11-0    17.9797
 206   UNC-Charlotte                   4-6-0    17.9072
 207   Presbyterian                    6-5-0    17.7037
 208   Shepherd                        8-2-0    17.5946
 209   Bloomsburg                      10-1-0    17.3162
 210   Maine                           5-5-0    16.9665
 211   Lamar                           7-4-0    16.9449
 212   Michigan Tech                   9-1-0    16.8953
 213   Southern Utah                   2-9-0    16.8893
 214   West Chester                    10-1-0    16.7769
 215   Eastern New Mexico              7-4-0    16.7333
 216   Henderson St                    9-2-0    16.0582
 217   Portland St                     3-8-0    16.0532
 218   UC-Davis                        2-8-0    16.0244
 219   Tennessee St                    5-6-0    15.8207
 220   Lafayette                       4-6-0    15.7685
 221   Monmouth NJ                     5-5-0    15.3772
 222   Furman                          3-8-0    15.2433
 223   Eastern Michigan                2-10-0    15.0317
 224   Wagner                          6-4-0    14.9737
 225   Florida Tech                    6-5-0    14.9578
 226   St Francis PA                   5-5-0    14.8347
 227   Humboldt St                     8-2-0    14.8195
 228   West Alabama                    5-6-0    14.7441
 229   West Texas A&M                  6-5-0    14.6547
 230   Grand Valley St                 6-5-0    14.5178
 231   Delaware                        6-5-0    14.3668
 232   Linfield                        8-1-0    14.3008
 233   Murray St                       3-8-0     13.946
 234   Holy Cross                      4-7-0    13.7493
 235   Colorado Mines                  10-1-0    13.6788
 236   Gannon                          8-2-0    13.6361
 237   Jacksonville FL                 9-2-0    13.5893
 238   Tennessee Tech                  4-7-0    13.5674
 239   North Carolina Central          6-5-0    13.2468
 240   Wayne St MI                     7-4-0    12.9894
 241   Colgate                         4-7-0    12.5596
 242   Northern Colorado               3-7-0     12.476
 243   Winston-Salem St                9-2-0    12.3338
 244   Southern Oregon                 9-2-0    12.2727
 245   Slippery Rock                   9-2-0    12.2244
 246   Lehigh                          3-7-0    12.1178
 247   Ouachita Baptist                10-0-0    12.1022
 248   UW-Whitewater                   10-0-0    11.7337
 249   Lindsey Wilson                  9-2-0     11.608
 250   Wartburg                        10-0-0    11.4752
 251   Elon                            1-10-0    11.2631
