Rank     Team                            W-L-T    Schedule Factor
160        Boise St                        5-0-0    39.8199
161        California                      3-2-0    39.8127
162        SMU                             0-3-0    39.5841
163        Towson                          0-2-0    39.4422
164        TCU                             4-1-0    39.4252
165        Arizona                         5-1-0    39.4233
166        South Florida                   0-1-0    39.3183
167        Georgia                         5-1-0    39.2284
168        Hawai`i                         2-5-0    39.0261
169        Nebraska                        6-1-0    38.864
170        Stanford                        4-2-0    38.8383
171        Florida                         3-1-0    38.763
172        Clemson                         4-2-0    38.7626
173        Youngstown St                   2-2-0    38.7219
174        Miami FL                        5-3-0    38.6612
175        Akron                           0-1-0    38.5158
176        Massachusetts                   0-1-0    38.5158
177        Georgia Tech                    5-1-0    38.4686
178        Baylor                          6-1-0    38.4155
179        Ohio St                         4-1-0    38.3471
180        Pittsburgh                      4-2-0    38.318
181        South Florida                   2-5-0    38.0332
182        Pittsburgh                      2-4-0    37.9862
183        Missouri St                     0-1-0    37.8945
184        Penn St                         4-4-0    37.8133
185        Southern Miss                   1-4-0    37.6207
186        Virginia Tech                   2-4-0    37.6034
187        Mississippi St                  4-1-0    37.5393
188        Connecticut                     2-4-0    37.2041
189        North Carolina St               4-3-0    37.1748
190        Iowa                            3-2-0    37.1111
191        Kansas                          0-1-0    37.1001
192        Washington                      5-2-0    37.0568
193        Southern Miss                   2-4-0    37.0289
194        Kent St                         0-2-0    36.995
195        LSU                             6-2-0    36.8874
196        North Dakota St                 0-1-0    36.8762
197        Northern Colorado               0-1-0    36.8762
198        Oregon                          6-0-0    36.7462
199        Northwestern                    0-1-0    36.7029
200        Massachusetts                   0-2-0    36.6931
201        Michigan St                     5-1-0    36.5764
202        Florida St                      5-0-0    36.5368
203        Eastern Michigan                0-2-0    36.4664
204        Northwestern                    3-1-0    36.3419
205        SMU                             0-2-0    36.2454
206        Fresno St                       3-4-0    36.2312
207        Western Kentucky                3-4-0    36.2093
208        Black Hills St                  0-1-0    36.1715
209        West Texas A&M                  0-1-0    36.1715
210        Adams St                        0-1-0    36.1715
211        SMU                             0-2-0    36.0356
212        Bowling Green                   3-2-0    35.8752
213        UTEP                            0-1-0    35.5948
214        Presbyterian                    1-3-0    35.5851
215        UTEP                            3-2-0    35.5685
216        San Diego St                    3-4-0    35.4125
217        North Carolina St               3-1-0    35.3772
218        Miami FL                        1-3-0    35.3475
219        Nevada                          3-3-0    35.2902
220        Wisconsin                       4-2-0    35.2519
221        Arizona St                      5-1-0    35.132
222        UW-Oshkosh                      0-2-0    35.0848
223        Navy                            3-4-0    35.0736
224        James Madison                   0-1-0    34.9736
225        Colorado St                     5-1-0    34.9452
226        San Jose St                     1-3-0    34.8211
227        Tulane                          1-3-0    34.6894
228        South Dakota                    0-5-0    34.6762
229        Penn St                         2-1-0    34.632
230        McNeese St                      0-1-0    34.6148
231        Jacksonville FL                 0-1-0    34.6148
232        Wake Forest                     0-4-0    34.4284
233        South Dakota St                 3-3-0    34.2798
234        Indiana                         2-4-0    34.116
235        Tulane                          0-1-0    34.0825
236        Maryland                        5-0-0    34.0212
237        Saginaw Valley St               0-1-0    33.9003
238        Northwood                       0-2-0    33.8997
239        Georgia                         4-2-0    33.8888
240        Connecticut                     0-3-0    33.884
241        Old Dominion                    3-4-0    33.8377
242        UNLV                            0-6-0    33.837
243        Brigham Young                   3-2-0    33.7927
244        Texas-San Antonio               0-2-0    33.686
245        Missouri St                     2-3-0    33.5879
246        Tulsa                           0-4-0    33.4294
247        Charleston Southern             0-2-0    33.4096
248        Fordham                         0-1-0    33.3783
249        Wisconsin                       6-0-0    33.3688
250        South Florida                   2-2-0    33.3574
251        Rice                            4-3-0    33.3122
252        Michigan St                     5-1-0    33.2827
253        Tennessee-Martin                2-4-0    33.1488
254        Nicholls St                     0-3-0    33.1272
255        Cincinnati                      4-1-0    33.0373
256        Louisiana Tech                  5-2-0    32.929
257        Western Kentucky                4-1-0    32.8544
258        Michigan                        1-2-0    32.8046
259        Savannah St                     0-3-0    32.6616
260        Texas                           3-0-0    32.5299
261        Louisville                      4-1-0    32.4324
262        Miami OH                        0-6-0    32.4282
263        Wake Forest                     2-3-0    32.2167
264        Southern Utah                   0-1-0    32.2024
265        Boise St                        5-2-0    32.1029
266        Iowa                            4-3-0    31.9112
267        Nevada                          4-2-0    31.7316
268        Indiana St                      3-2-0    31.4614
269        San Diego St                    0-1-0    31.4211
270        Duke                            5-1-0    31.2538
271        Virginia Tech                   0-1-0    31.0201
272        Florida A&M                     0-2-0    30.9683
273        Air Force                       5-1-0    30.9653
274        Tulsa                           2-4-0    30.7966
275        Western Carolina                0-1-0    30.7679
276        Hillsdale                       0-1-0    30.7657
277        Arkansas St                     4-2-0    30.6178
278        Central Michigan                4-2-0    30.5945
279        Louisiana-Monroe                1-4-0    30.5895
280        Middle Tennessee St             2-4-0    30.5753
281        Delaware                        0-1-0    30.5637
282        Temple                          2-3-0    30.486
283        Grambling St                    0-1-0    30.4764
284        Kent St                         1-3-0    30.4597
285        Tulane                          2-2-0    30.3264
286        Montana-Western                 0-2-0    30.2515
287        San Jose St                     0-2-0    30.192
288        Alderson-Broaddus               0-1-0    30.182
289        Virginia St                     0-1-0    30.182
290        Northern Arizona                0-1-0    30.063
291        Tennessee Tech                  0-3-0    29.9124
292        Eastern Illinois                2-5-0    29.8599
293        New Mexico St                   1-6-0    29.5106
294        Fresno St                       3-2-0    29.4116
295        Monmouth NJ                     0-1-0    29.3563
296        Middle Tennessee St             4-1-0    29.2794
297        Missouri                        4-1-0    29.254
298        South Alabama                   3-2-0    29.1246
299        Austin Peay                     0-2-0    29.0485
300        Delaware                        2-2-0    29.021
301        Army                            0-1-0    28.9948
302        Princeton                       0-1-0    28.9176
303        Wagner                          0-1-0    28.8081
304        Delaware                        0-1-0    28.8081
305        Cincinnati                      4-2-0    28.7012
306        Norfolk St                      0-2-0    28.5971
307        Georgia Tech                    5-1-0    28.5687
308        West Virginia St                0-1-0    28.4724
309        Idaho                           0-5-0    28.4422
310        Miami OH                        2-4-0    28.388
311        Navy                            3-1-0    28.283
312        East Carolina                   4-3-0    28.2768
313        Temple                          3-3-0    28.1323
314        Waldorf                         0-1-0    28.0105
315        Savannah St                     0-3-0    28.0077
316        Central Florida                 5-0-0    27.8629
317        Brigham Young                   5-2-0    27.8385
318        Ball St                         3-4-0    27.6952
319        UNLV                            2-5-0    27.6518
320        Buffalo                         4-2-0    27.643
321        Florida Atlantic                3-3-0    27.3553
322        Massachusetts                   1-3-0    27.3065
323        Eastern Oregon                  0-1-0    27.2228
324        Rocky Mountain                  0-1-0    27.2228
325        Duke                            4-2-0    27.1893
326        Central Florida                 3-3-0    27.1765
327        Northern Illinois               6-1-0    27.1303
328        North Texas                     1-4-0    27.0223
329        Western Illinois                2-2-0    26.9163
330        Southern Utah                   0-6-0    26.9028
331        UC-Davis                        1-4-0    26.8817
332        San Jose St                     2-3-0    26.8228
333        Utah St                         4-2-0    26.7625
334        Southern Illinois               2-3-0    26.4492
335        Stony Brook                     0-1-0    26.4162
336        Furman                          0-1-0    26.3742
337        Rhode Island                    0-3-0    26.3619
338        Ohio U.                         4-2-0    26.3394
339        Eastern Michigan                0-4-0    26.2436
340        Appalachian St                  4-3-0    26.2187
341        Samford                         2-2-0    26.2017
342        Army                            1-4-0    26.1676
343        Louisiana-Lafayette             4-1-0    26.1545
344        Northern Iowa                   3-3-0    26.1025
345        McNeese St                      2-2-0    26.0585
346        Ball St                         2-3-0    26.0441
347        Baylor                          4-0-0    25.9612
348        Illinois St                     3-1-0    25.8531
349        Boston College                  5-0-0    25.8424
350        Alabama-Birmingham              3-3-0    25.8253
351        Florida Int'l                   1-2-0    25.7213
352        Louisiana Tech                  3-2-0    25.7174
353        South Dakota Tech               0-1-0    25.6967
354        Incarnate Word                  0-3-0    25.5156
355        Dickinson                       0-1-0    25.5087
356        Army                            3-1-0    25.4691
357        Northwestern St                 3-2-0    25.4689
358        Georgia St                      0-4-0    25.4271
359        Northern Illinois               4-1-0    25.4254
360        Maine                           2-1-0    25.3963
361        Northwestern                    0-1-0    25.3939
362        Toledo                          4-3-0    25.2797
363        Troy                            1-4-0    25.1518
364        Louisiana-Monroe                3-3-0    25.1149
365        Central Michigan                3-2-0    24.897
366        McMurry                         0-1-0    24.8849
367        VMI                             0-3-0    24.7806
368        Valparaiso                      0-1-0    24.7632
369        Texas-San Antonio               2-3-0    24.6918
