Rank     Team                            W-L-T    Schedule Factor
162        Oregon St                       4-2-0    36.7223
163        Colorado                        5-2-0    36.6767
164        Memphis                         0-2-0    36.3479
165        Illinois                        3-3-0    36.3266
166        Michigan St                     3-0-0    36.324
167        Brigham Young                   2-4-0    36.2858
168        Michigan                        3-2-0    36.212
169        Mississippi St                  6-2-0    36.1607
170        LSU                             7-0-0    36.0922
171        Marietta                        0-1-0    36.0857
172        Louisiana Tech                  2-4-0    36.036
173        Stanford                        6-0-0    35.9228
174        Georgia Tech                    2-4-0    35.8886
175        San Jose St                     0-4-0    35.8432
176        Tennessee-Martin                0-1-0    35.7109
177        Navy                            3-2-0    35.6096
178        Indiana St                      0-2-0    35.5799
179        Arizona                         4-3-0    35.5427
180        Texas Tech                      5-2-0    35.3859
181        San Diego St                    3-3-0    35.2855
182        Virginia Tech                   7-3-0    35.1756
183        Boston College                  3-3-0    35.1323
184        Connecticut                     6-0-0    35.0956
185        Wyoming                         2-2-0    35.014
186        Texas A&M                       3-1-0    34.9503
187        Wayne St MI                     0-1-0    34.9012
188        Duke                            1-3-0    34.8586
189        Tulsa                           4-3-0    34.7571
190        TCU                             8-0-0    34.7484
191        Morgan St                       0-2-0    34.7194
192        Miami OH                        0-1-0    34.7163
193        San Jose St                     1-4-0    34.602
194        Indiana                         2-4-0    34.602
195        Toledo                          4-2-0    34.5967
196        Kentucky                        5-3-0    34.5417
197        North Carolina St               3-3-0    34.5281
198        Fresno St                       5-3-0    34.4675
199        Houston                         3-3-0    34.4285
200        Grand Valley St                 0-1-0    34.4178
201        Kansas                          3-2-0    34.3696
202        Alabama-Birmingham              1-3-0    34.3511
203        Utah St                         0-2-0    34.2133
204        Missouri                        7-1-0    34.1635
205        Eastern Illinois                0-1-0    33.974
206        North Carolina                  5-1-0    33.9267
207        Northwestern                    3-3-0    33.8843
208        Rice                            3-4-0    33.8058
209        Kansas                          0-2-0    33.7499
210        Kentucky St                     0-1-0    33.6102
211        Nevada                          5-1-0    33.601
212        Minnesota                       2-2-0    33.5734
213        The Citadel                     0-1-0    33.5574
214        Southern Illinois               0-2-0    33.5451
215        San Diego St                    6-1-0    33.3786
216        Louisiana Tech                  3-3-0    33.3732
217        Purdue                          3-4-0    33.3128
218        Pittsburgh                      4-1-0    33.3001
219        Akron                           0-1-0    33.2158
220        UC-Davis                        0-2-0    33.1811
221        UNLV                            0-2-0    33.0535
222        Tennessee                       2-3-0    32.9773
223        Illinois                        4-2-0    32.9623
224        Iowa                            3-3-0    32.9489
225        Nevada                          8-0-0    32.8868
226        Marshall                        4-2-0    32.8593
227        Penn State                      6-2-0    32.7978
228        Rutgers                         1-4-0    32.7847
229        Kent St                         0-2-0    32.7692
230        New Hampshire                   0-1-0    32.7153
231        Maine                           0-1-0    32.7153
232        West Chester                    0-1-0    32.7153
233        Duquesne                        0-1-0    32.7153
234        Eastern Michigan                0-3-0    32.6009
235        Iowa St                         0-1-0    32.5624
236        Maryland                        7-1-0    32.5193
237        Bowling Green                   1-6-0    32.3104
238        Tulane                          2-3-0    32.2519
239        Buffalo                         1-4-0    32.1655
240        Grambling St                    0-1-0    32.1309
241        Memphis                         1-4-0    32.1068
242        Alabama                         7-1-0    31.9654
243        Connecticut                     2-4-0    31.8576
244        Florida St                      6-1-0    31.8184
245        Brigham Young                   5-1-0    31.7887
246        Syracuse                        0-2-0    31.7526
247        Wisconsin                       7-0-0    31.7414
248        Miami FL                        4-3-0    31.6909
249        Idaho St                        0-3-0    31.586
250        Virginia                        4-3-0    31.3553
251        St Francis IN                   0-1-0    31.1153
252        Air Force                       5-1-0    31.1108
253        Wake Forest                     2-4-0    31.0599
