Rank     Team                            W-L-T    Schedule Factor
1        Mississippi St                  0-1-0    77.6553
2        Western Carolina                0-1-0    77.6553
3        Florida Atlantic                0-1-0    77.6553
4        Auburn                          0-1-0    77.6553
5        Western Kentucky                0-1-0    77.6553
6        SMU                             0-1-0    76.9872
7        Arkansas                        0-1-0    75.792
8        Kansas                          0-1-0    65.3756
9        Boston College                  0-1-0    64.2122
10        Michigan St                     0-1-0    64.2122
11        Vanderbilt                      0-1-0    59.2772
12        Idaho St                        0-1-0    58.2248
13        Florida                         0-1-0    57.5096
14        Duke                            0-1-0    57.003
15        Murray St                       0-1-0    57.003
16        Boston College                  0-1-0    57.003
17        Washington                      0-1-0    56.0741
18        Arizona                         0-1-0    55.3151
19        Alabama-Birmingham              0-1-0    55.0376
20        Georgia                         0-1-0    55.0376
21        Furman                          0-1-0    54.9201
22        Central Michigan                0-1-0    54.2707
23        Michigan                        0-2-0    53.7164
24        California                      0-1-0    53.5118
25        Colorado                        0-1-0    53.5118
26        Alabama                         8-1-0    53.0623
27        California                      0-1-0    52.9721
28        Kentucky                        0-1-0    52.9133
29        Northern Arizona                0-1-0    52.5623
30        Wake Forest                     0-3-0    52.2751
31        Navy                            0-1-0    52.1835
32        New Mexico St                   0-1-0    52.1835
33        Michigan                        2-3-0    51.4156
34        Texas                           4-1-0    51.2756
35        Cincinnati                      0-1-0    51.2105
36        Illinois                        0-1-0    51.1992
37        Malone                          0-1-0    50.9146
38        Kansas                          0-5-0    50.6881
39        Utah                            0-2-0    50.6568
40        Texas A&M                       6-0-0    50.5802
41        TCU                             5-1-0    50.302
42        Jacksonville St                 0-1-0    50.2345
43        LSU                             0-1-0    50.2345
44        Missouri                        0-1-0    50.2345
45        Florida                         4-0-0    50.1993
46        Tennessee                       0-4-0    50.1583
47        Missouri                        2-2-0    50.1488
48        Delaware St                     0-1-0    49.7892
49        Miami FL                        0-1-0    49.208
50        Oklahoma St                     1-4-0    49.1137
51        Eastern Michigan                0-1-0    49.034
52        Akron                           0-1-0    49.034
53        LSU                             3-1-0    48.9961
54        Wisconsin                       0-1-0    48.7512
55        Illinois                        0-4-0    48.6765
56        Southern Miss                   0-1-0    48.5992
57        Stephen F. Austin               0-1-0    48.5992
58        Missouri St                     0-3-0    48.3654
59        Southern Cal                    3-3-0    48.1789
60        South Carolina                  3-2-0    48.1459
61        Mississippi                     2-3-0    47.5537
62        South Dakota                    0-1-0    47.1405
63        Arizona                         1-2-0    47.0614
64        Oregon St                       3-3-0    46.7763
65        Indiana                         2-4-0    46.6535
66        Texas Tech                      3-3-0    46.6077
