Away Team, Away Score, Home Team, Home Score
Central Oklahoma,41,Incarnate Word,42
Webber Int'l,0,Jacksonville FL,41
Black Hills St,28,Jamestown,25
Mount Union,51,John Carroll,7
Brevard,25,Johnson C. Smith,21
Iowa St,20,Kansas St,27
St Mary KS,17,Kansas Wesleyan,59
Akron,10,Kentucky,47
Cumberland TN,35,Kentucky Christian,6
St Norbert,49,Knox,0
Monmouth IL,30,Lawrence,25
Moravian,6,Lebanon Valley,21
Princeton,22,Lehigh,35
Pomona-Pitzer,38,Lewis & Clark,63
OK Panhandle St,22,Lincoln MO,23
Missouri Valley,27,Lindenwood,45
Bowie St,55,Livingstone,6
Kutztown,38,Lock Haven,13
Navy,37,Louisiana Tech,23
Mississippi St,7,LSU,29
Coe,42,Luther,19
Maranatha Baptist,0,Macalester,21
UMass-Dartmouth,0,Maine Maritime,42
Anna Maria,0,Malone,69
Earlham,7,Manchester,28
Muskingum,31,Marietta,23
Crown,42,Martin Luther,41
LaGrange,17,Maryville,20
Iowa Wesleyan,3,McKendree,58
Mary Hardin-Baylor,43,McMurry,31
Ottawa,24,McPherson,56
Middle Tennessee St,17,Memphis,24
Colorado St,10,Miami OH,31
Massachusetts,37,Michigan,42
Notre Dame,31,Michigan St,34
Wayne St MI,7,Michigan Tech,24
SW Oklahoma St,9,Midwestern St,46
Clark Atlanta,35,Miles,9
Gannon,26,Millersville,29
Hope,21,Millikin,31
Austin,24,Millsaps,38
Upper Iowa,24,Minn St-Moorhead,28
Southern Cal,32,Minnesota,21
Minn St-Mankato,42,Minnesota-Crookston,3
Wayne St NE,10,Minnesota-Duluth,42
Mayville St,10,Minot St,42
Vanderbilt,28,Mississippi,14
Alcorn St,27,Mississippi Valley St,9
San Diego St,24,Missouri,27
Mass Maritime,38,MIT,17
Drake,21,Montana St,48
Rocky Mountain,24,Montana Tech,38
Carroll MT,28,Montana-Western,2
Rowan,7,Montclair St,26
Kentucky St,25,Morehouse,41
Briar Cliff,12,Morningside,58
Kean,27,Morrisville St,9
Anderson,35,Mt St Joseph,42
Mesa St,9,Nebraska-Kearney,31
NW Missouri St,58,Nebraska-Omaha,23
Assumption,45,New Haven,28
Utah,56,New Mexico,14
Colorado Mines,49,New Mexico Highlands,21
Virginia St,28,Norfolk St,51
Southern Arkansas,6,North Alabama,48
Georgia Tech,30,North Carolina,24
Northeastern St OK,14,North Dakota,55
Morgan St,9,North Dakota St,35
Lenoir-Rhyne,20,North Greenville,19
MacMurray,7,North Park,70
Idaho St,21,Northern Colorado,35
Stephen F. Austin,22,Northern Iowa,20
Concordia-St Paul,27,Northern St SD,17
Nebraska Wesleyan,14,Northwestern IA,30
Tarleton St,14,Northwestern St,17
Northern Michigan,31,Northwood,17
Hartwick,27,Norwich,42
Walsh,34,Notre Dame OH,14
Ferris St,34,Ohio Dominican,28
Ohio U.,7,Ohio State,43
Wabash,45,Ohio Wesleyan,21
Air Force,24,Oklahoma,27
Tulsa,28,Oklahoma St,65
William & Mary,21,Old Dominion,17
North Central,52,Olivet,9
St Xavier,58,Olivet Nazarene,17
Portland St,0,Oregon,69
Louisville,28,Oregon St,35
Ohio Northern,34,Otterbein,10
Arkansas-Monticello,37,Ouachita Baptist,31
Southern Conn St,55,Pace,12
Cal Lutheran,21,Pacific Lutheran,35
Claremont-Mudd-Scripps,37,Pacific OR,9
Kent St,0,Penn State,24
Lafayette,14,Pennsylvania,19
Shorter,49,Pikeville,14
Central Missouri,37,Pittsburg St,20
Alabama St,18,Prairie View A&M,15
Ball St,13,Purdue,24
Shenandoah,14,Randolph-Macon,42
Whitworth,7,Redlands,23
New Hampshire,25,Rhode Island,28
Northwestern,30,Rice,13
Elon,21,Richmond,27
Liberty,23,Robert Morris,30
Kalamazoo,17,Rose-Hulman,41
Weber St,17,Sacramento St,24
Lake Erie,17,Saginaw Valley St,49
UC-Davis,38,San Diego,24
Southern Utah,11,San Jose St,16
Lamar,29,SE Louisiana St,28
Fairmont St,16,Shepherd,19
Loras,7,Simpson,14
Doane,13,Sioux Falls,66
West Chester,27,Slippery Rock,33
Washington St,21,SMU,35
Nicholls St,21,South Alabama,39
Furman,19,South Carolina,38
NW Oklahoma St,14,South Dakota,48
Illinois St,24,South Dakota St,14
SE Missouri St,24,Southern Illinois,21
Friends,20,Southwestern KS,17
Bentley,52,St Anselm,7
St Paul's,7,St Augustine's,31
Winona St,26,St Cloud St,31
St Ambrose,20,St Francis IN,31
Sacred Heart,0,St Francis PA,41
Rochester,21,St John Fisher,49
Concordia-Moorhead,28,St John's MN,40
Alfred,24,St Lawrence,16
St Thomas,49,St Olaf,14
Wake Forest,24,Stanford,68
Peru St,10,Sterling,17
Howard Payne,30,Sul Ross St,37
Merchant Marine,34,SUNY-Maritime,41
Muhlenberg,21,Susquehanna,14
Trinity Bible,24,SW Assem of God,38
William Jewell,14,SW Baptist,59
Bemidji St,30,SW Minnesota St,14
Maine,14,Syracuse,38
TAMU-Commerce,0,TAMU-Kingsville,21
Baylor,10,TCU,45
Connecticut,16,Temple,30
Florida,31,Tennessee,17
Austin Peay,26,Tennessee St,23
Eastern Illinois,10,Tennessee-Martin,20
Florida Int'l,20,Texas A&M,27
East Texas Baptist,14,Texas Lutheran,17
Alabama A&M,9,Texas Southern,32
Cal Poly SLO,12,Texas St-San Marcos,21
Texas,24,Texas Tech,14
Presbyterian,14,The Citadel,26
Waynesburg,34,Thiel,6
Findlay,10,Tiffin,7
Rhodes,22,Trinity TX,16
Urbana,36,Tusculum,39
Albany St GA,34,Tuskegee,6
Houston,13,UCLA,31
Juniata,0,Ursinus,41
Fresno St,41,Utah St,24
New Mexico St,10,UTEP,42
RPI,21,Utica,42
Trine,35,UW-River Falls,14
Missouri S&T,10,UW-Stevens Point,29
Eureka,0,UW-Stout,63
Delta St,27,Valdosta St,23
South Dakota Tech,24,Valley City St,21
St Joseph's IN,50,Valparaiso,7
Towson,7,Villanova,43
East Carolina,27,Virginia Tech,49
Lincoln PA,31,Virginia Union,55
Cornell NY,7,Wagner,41
Trinity Int'l,23,Waldorf,21
Cornell IA,14,Wartburg,34
Bethany WV,21,Wash & Jeff,59
Missouri Western,36,Washburn,33
Nebraska,56,Washington,21
Delaware Valley,17,Wesley,21
Lambuth,14,West Alabama,13
SE Oklahoma St,17,West Texas A&M,41
Maryland,17,West Virginia,31
Bethel TN,37,West Virginia Tech,31
Sam Houston St,14,Western Illinois,56
Indiana,38,Western Kentucky,21
Toledo,37,Western Michigan,24
Westfield St,10,Western New England,17
Fort Lewis,30,Western New Mexico,27
Simon Fraser,25,Western Oregon,48
Haskell,14,Westminster MO,42
Grove City,31,Westminster PA,16
UW-Platteville,20,Wheaton,51
Ithaca,31,Widener,7
Springfield,44,Wilkes,7
Southern Oregon,24,Willamette,42
King's PA,7,William Paterson,14
Quincy,58,William Penn,67
Capital,10,Wilmington,7
UNC-Pembroke,23,Wingate,28
Chowan,7,Winston-Salem St,48
Arizona St,19,Wisconsin,20
Minnesota-Morris,21,Wisconsin Lutheran,50
Washington U.,7,Wittenberg,37
Union KY,10,Wofford,48
Oberlin,14,Wooster,31
Becker,0,WPI,55
Concord,13,WV Wesleyan,20
Boise St,51,Wyoming,6
Georgetown DC,35,Yale,40
Central Conn St,24,Youngstown St,63
Miami FL,31,Pittsburgh,3
American Int'l,7,Southern Conn St,28
West Georgia,7,West Alabama,28
New Haven,28,Bentley,23
TCU,41,SMU,24
Merrimack,42,Stonehill,39
Tarleton St,3,Abilene Christian,65
Chadron St,21,Adams St,10
Southern U.,14,Alabama A&M,34
Catholic,31,Albright,41
Alabama St,21,Alcorn St,41
Wittenberg,24,Allegheny,21
West Texas A&M,37,Angelo St,27
FDU-Florham,28,Apprentice,14
California,9,Arizona,10
Oregon,42,Arizona St,31
Alabama,24,Arkansas,20
Arkansas Tech,30,Arkansas-Monticello,25
Clark Atlanta,19,Arkansas-Pine Bluff,35
South Carolina,27,Auburn,35
St John's MN,48,Augsburg,10
SW Minnesota St,21,Augustana SD,53
Centre,42,Austin,40
Culver-Stockton,7,Avila,21
Anna Maria,32,Becker,43
Knox,7,Beloit,42
Stillman,0,Benedict,35
Kalamazoo,34,Benedictine IL,31
Geneva,37,Bethany WV,33
Cumberlands KY,35,Bethel TN,33
Norfolk St,7,Bethune-Cookman,21
Mt St Joseph,31,Bluffton,10
Oregon St,24,Boise St,37
Virginia Tech,19,Boston College,0
Virginia Union,27,Bowie St,28
Northwestern IA,59,Briar Cliff,38
Framingham St,46,Bridgewater St MA,7
Ferrum,24,Bridgewater VA,35
Nevada,27,Brigham Young,13
New Jersey,24,Brockport St,21
Harvard,14,Brown,29
Simpson,14,Buena Vista,33
Kean,33,Buffalo St,29
Georgia St,24,Campbell,21
Lindsey Wilson,30,Campbellsville,48
Wesley,42,Capital,21
Kenyon,10,Carnegie Mellon,17
Montana Tech,13,Carroll MT,31
Denison,7,Case Western Reserve,37
Bryant,24,Central Conn St,41
Graceland,0,Central Methodist,10
Washburn,45,Central Missouri,55
Midwestern St,30,Central Oklahoma,24
Azusa Pacific,35,Chapman,17
Kutztown,52,Cheyney,14
Virginia St,20,Chowan,13
Oklahoma,31,Cincinnati,29
California PA,24,Clarion,9
Delaware St,14,Coastal Carolina,34
Central IA,28,Coe,37
Western New Mexico,0,Colorado Mines,43
Idaho,34,Colorado St,36
Towson,10,Columbia,24
Charleston WV,28,Concord,37
Buffalo,21,Connecticut,45
Yale,21,Cornell NY,7
West Virginia Tech,7,Cumberland TN,30
MIT,7,Curry,34
South Dakota Tech,41,Dakota St,14
Sacred Heart,19,Dartmouth,21
Jacksonville FL,42,Davidson,15
Central St OH,13,Dayton,45
Franklin,42,Defiance,7
Henderson St,37,Delta St,41
Sewanee,7,DePauw,35
Jamestown,16,Dickinson St,26
Dakota Wesleyan,37,Doane,3
Cornell IA,10,Dubuque,28
Army,35,Duke,21
Albany NY,17,Duquesne,28
Anderson,56,Earlham,20
SW Oklahoma St,0,East Central OK,23
West Chester,35,East Stroudsburg,31
McMurry,21,East Texas Baptist,23
Jacksonville St,28,Eastern Illinois,23
TAMU-Commerce,21,Eastern New Mexico,44
Gannon,0,Edinboro,13
Shaw,31,Elizabeth City St,28
Methodist,6,Emory & Henry,49
Fort Hays St,6,Emporia St,19
Minnesota-Morris,47,Eureka,29
William Jewell,25,Evangel,28
Pikeville,36,Faulkner,42
Winston-Salem St,31,Fayetteville St,14
Tiffin,28,Ferris St,52
Grand Valley St,35,Findlay,7
Maine Maritime,44,Fitchburg St,46
Kentucky,14,Florida,48
North Texas,21,Florida Atlantic,17
Wake Forest,0,Florida St,31
Assumption,30,Fordham,24
Colorado St-Pueblo,49,Fort Lewis,14
Juniata,13,Franklin & Marshall,55
The Citadel,14,Furman,31
Castleton St,31,Gallaudet,28
Holy Cross,7,Georgetown DC,17
Elon,21,Georgia Southern,38
North Carolina St,45,Georgia Tech,28
Fairmont St,14,Glenville St,17
Waldorf,0,Grand View,70
St Olaf,19,Gustavus Adolphus,14
Carleton,45,Hamline,21
Rose-Hulman,31,Hanover,52
Sioux Falls,34,Hastings,10
Charleston Southern,7,Hawai`i,66
Otterbein,35,Heidelberg,34
Lake Erie,37,Hillsdale,42
Oberlin,47,Hiram,21
St John Fisher,34,Hobart,14
Lakeland,27,Hope,12
Tulane,23,Houston,42
Texas Lutheran,17,Howard Payne,39
Birmingham-Southern,35,Huntingdon AL,20
Northern Arizona,32,Idaho St,7
Missouri St,41,Illinois St,44
TAMU-Kingsville,37,Incarnate Word,9
Akron,20,Indiana,35
Slippery Rock,0,Indiana PA,17
Michigan Tech,24,Indianapolis,10
Ball St,0,Iowa,45
Northern Iowa,0,Iowa St,27
Mississippi Valley St,7,Jackson St,43
Liberty,3,James Madison,10
Marietta,18,John Carroll,24
New Mexico St,16,Kansas,42
Central Florida,13,Kansas St,17
Bethel KS,0,Kansas Wesleyan,45
Alma,28,Kentucky Wesleyan,49
Linfield,30,La Verne,3
Grinnell,41,Lake Forest,20
North Alabama,31,Lambuth,0
St Augustine's,52,Lincoln PA,21
Southern Miss,13,Louisiana Tech,12
Middle Tennessee St,34,Louisiana-Lafayette,14
SE Louisiana St,20,Louisiana-Monroe,21
West Virginia,14,LSU,20
Ithaca,24,Lycoming,26
Crown,41,Macalester,44
Bethany KS,38,MacMurray,7
William & Mary,24,Maine,21
St Francis IN,28,Marian IN,25
Morehead St,45,Marist,39
Ohio U.,23,Marshall,24
St Scholastica,7,Martin Luther,21
Hardin-Simmons,28,Mary Hardin-Baylor,42
Florida Int'l,28,Maryland,42
Coast Guard,16,Mass Maritime,23
Black Hills St,48,Mayville St,17
Dickinson,41,McDaniel,16
Cal Poly SLO,40,McNeese St,14
St Lawrence,13,Merchant Marine,6
Lock Haven,0,Mercyhurst,41
New Mexico Highlands,6,Mesa St,40
Bowling Green,21,Michigan,65
Northern Colorado,7,Michigan St,45
Lindenwood,20,MidAmerica Nazarene,26
Morningside,36,Midland,7
Kentucky St,12,Miles,13
Bloomsburg,44,Millersville,7
Greenville,17,Millikin,27
Concordia-St Paul,28,Minn St-Mankato,26
Northern Illinois,34,Minnesota,23
Minn St-Moorhead,48,Minnesota-Crookston,18
Bemidji St,21,Minnesota-Duluth,44
Valley City St,3,Minot St,34
Fresno St,38,Mississippi,55
Louisiana College,45,Mississippi College,42
Georgia,12,Mississippi St,24
Miami OH,13,Missouri,51
UW-La Crosse,24,Missouri S&T,31
Benedictine KS,21,Missouri Valley,34
Pittsburg St,25,Missouri Western,42
Illinois College,9,Monmouth IL,33
Old Dominion,35,Monmouth NJ,21
Sacramento St,25,Montana,28
Eastern Washington,7,Montana St,30
Rocky Mountain,34,Montana St-Northern,23
Eastern Oregon,29,Montana-Western,13
Johns Hopkins,41,Moravian,3
Lincoln MO,14,Morehouse,30
Howard,3,Morgan St,20
Montclair St,42,Morrisville St,6
Norwich,21,Mount Ida,22
Gettysburg,27,Muhlenberg,33
Tennessee-Martin,16,Murray St,52
South Dakota St,3,Nebraska,17
Dordt,0,Nebraska Wesleyan,21
Missouri Southern,10,Nebraska-Omaha,42
Lehigh,10,New Hampshire,31
Bacone,28,Nicholls St,44
Western New England,28,Nichols,10
North Carolina A&T,16,North Carolina Central,27
LaGrange,24,North Carolina Wesleyan,35
UW-Eau Claire,6,North Central,20
Northwestern St,24,North Dakota,49
South Dakota,16,North Dakota St,38
Ashland,19,Northern Michigan,23
Central Michigan,25,Northwestern,30
Saginaw Valley St,26,Northwood,30
Stanford,37,Notre Dame,14
Texas College,20,NW Oklahoma St,79
Muskingum,0,Ohio Northern,36
Eastern Michigan,20,Ohio State,73
Wooster,22,Ohio Wesleyan,13
Langston,30,OK Panhandle St,14
Wheaton,61,Olivet,14
Sterling,34,Ottawa,39
Harding,34,Ouachita Baptist,37
Temple,13,Penn State,22
Grambling St,34,Prairie View A&M,17
North Greenville,34,Presbyterian,17
Lafayette,33,Princeton,36
Whittier,42,Puget Sound,39
Toledo,31,Purdue,20
St Xavier,45,Quincy,14
Frostburg St,14,Randolph-Macon,48
Baylor,30,Rice,13
Delaware,34,Richmond,13
Carroll WI,24,Ripon,27
William Paterson,7,Rowan,12
WPI,24,RPI,10
North Carolina,17,Rutgers,13
Hampden-Sydney,32,Salisbury,28
Endicott,29,Salve Regina,28
Gardner-Webb,14,Sam Houston St,30
Appalachian St,35,Samford,17
Butler,0,San Diego,24
Utah St,7,San Diego St,41
Albany St GA,28,Savannah St,14
Tennessee Tech,21,SE Missouri St,23
Northeastern St OK,26,SE Oklahoma St,24
Shepherd,46,Seton Hill,17
C.W. Post,31,Shippensburg,14
Georgetown KY,46,Shorter,47
Central Washington,44,Simon Fraser,30
Edward Waters,0,South Alabama,64
Western Kentucky,12,South Florida,24
Valdosta St,27,Southern Arkansas,0
SW Baptist,69,Southern Nazarene,27
Menlo,20,Southern Oregon,13
Brevard,69,Southern Virginia,7
Alfred,35,Springfield,28
McKendree,21,St Ambrose,14
Pace,35,St Anselm,45
Mary,14,St Cloud St,30
Iowa Wesleyan,24,St Francis IL,21
Southwestern KS,43,St Mary KS,21
Lawrence,26,St Norbert,77
Livingstone,6,St Paul's,27
Concordia-Moorhead,7,St Thomas,56
Thiel,3,St Vincent,17
Lamar,3,Stephen F. Austin,71
Massachusetts,26,Stony Brook,21
Husson,21,SUNY-Maritime,47
Colgate,7,Syracuse,42
Friends,35,Tabor,21
Notre Dame OH,13,Taylor,40
Alabama-Birmingham,29,Tennessee,32
Florida A&M,18,Tennessee St,29
UCLA,34,Texas,12
Southern Utah,28,Texas St-San Marcos,42
Wash & Jeff,21,Thomas More,29
William Penn,44,Trinity Int'l,0
Millsaps,27,Trinity TX,23
Arkansas St,28,Troy,35
NW Missouri St,44,Truman St,10
Central Arkansas,14,Tulsa,41
Texas Southern,14,Tuskegee,21
Plymouth St,33,UMass-Dartmouth,9
Carson-Newman,7,UNC-Pembroke,30
Virginia-Wise,26,Union KY,61
Rochester,14,Union NY,16
New Mexico,10,UNLV,45
Winona St,42,Upper Iowa,14
Susquehanna,7,Ursinus,24
San Jose St,3,Utah,56
Memphis,13,UTEP,16
Wilkes,10,Utica,24
UW-Oshkosh,43,UW-River Falls,15
Albion,14,UW-Stevens Point,59
Drake,21,Valparaiso,19
Pennsylvania,10,Villanova,22
VMI,7,Virginia,48
Chicago,14,Wabash,31
Robert Morris,30,Wagner,9
Urbana,33,Walsh,34
Loras,0,Wartburg,34
Averett,20,Washington and Lee,10
Southern Cal,50,Washington St,16
Westminster MO,6,Washington U.,36
Ohio Dominican,7,Wayne St MI,17
Northern St SD,20,Wayne St NE,44
Grove City,16,Waynesburg,42
UC-Davis,9,Weber St,20
WV Wesleyan,43,West Liberty St,41
Chattanooga,27,Western Carolina,21
Cortland St,45,Western Conn St,0
Indiana St,7,Western Illinois,40
Humboldt St,14,Western Oregon,7
Nebraska-Kearney,13,Western St CO,6
Lewis & Clark,20,Whitworth,38
Mount Union,51,Wilmington,0
Austin Peay,3,Wisconsin,70
Westfield St,18,Worcester St,30
Air Force,20,Wyoming,14
Southern Illinois,28,Youngstown St,31
Southern Virginia,23,Bridgewater VA,32
Hampton,20,Delaware St,14
West Alabama,37,Delta St,41
West Liberty St,43,Fairmont St,23
Kentucky Christian,12,Georgetown KY,52
Texas A&M,35,Oklahoma St,38
Tennessee-Martin,27,Tennessee Tech,24
UW-Whitewater,49,UW-Platteville,17
Montclair St,21,Kean,7
Assumption,17,Southern Conn St,23
Brigham Young,16,Utah St,31
Trine,24,Adrian,16
Navy,6,Air Force,14
Northern Illinois,50,Akron,14
Florida,6,Alabama,31
Grambling St,25,Alabama A&M,22
Texas Southern,21,Alabama St,7
Lane,13,Albany St GA,43
Kalamazoo,30,Albion,27
Frostburg St,24,Alfred,49
Bentley,14,American Int'l,17
Hanover,28,Anderson,23
SUNY-Maritime,43,Anna Maria,20
Salisbury,31,Apprentice,7
Louisville,34,Arkansas St,24
Temple,42,Army,35
Northwood,17,Ashland,37
Louisiana-Monroe,3,Auburn,52
Lakeland,7,Aurora,23
Greensboro,0,Averett,50
Marietta,9,Baldwin-Wallace,39
Kansas,7,Baylor,55
Norwich,64,Becker,7
Bethel TN,43,Belhaven,28
Upper Iowa,12,Bemidji St,51
Concordia IL,41,Benedictine IL,47
MidAmerica Nazarene,23,Benedictine KS,7
Kansas Wesleyan,66,Bethany KS,49
Waynesburg,17,Bethany WV,24
Trinity TX,38,Birmingham-Southern,28
Dakota St,9,Black Hills St,14
East Stroudsburg,13,Bloomsburg,26
Notre Dame,31,Boston College,13
Virginia St,16,Bowie St,15
Buffalo,28,Bowling Green,26
Carson-Newman,35,Brevard,17
Cornell NY,21,Bucknell,12
Rowan,24,Buffalo St,7
Campbell,27,Butler,10
Lock Haven,0,California PA,58
Heidelberg,50,Capital,60
Augsburg,28,Carleton,38
Hiram,31,Carnegie Mellon,62
Lake Forest,7,Carroll WI,15
Allegheny,23,Case Western Reserve,24
Mount Ida,34,Castleton St,38
Hampden-Sydney,35,Catholic,27
Ball St,31,Central Michigan,17
East Central OK,28,Central Oklahoma,31
Notre Dame OH,16,Central St OH,13
Pomona-Pitzer,17,Chapman,41
Shepherd,28,Charleston WV,13
Ohio Wesleyan,6,Chicago,30
Virginia Union,34,Chowan,35
La Verne,14,Claremont-Mudd-Scripps,20
Slippery Rock,16,Clarion,13
Stillman,14,Clark Atlanta,19
Miami FL,30,Clemson,21
Fitchburg St,7,Coast Guard,19
Georgetown DC,3,Colgate,34
Georgia,27,Colorado,29
TCU,27,Colorado St,0
Chadron St,30,Colorado St-Pueblo,33
Princeton,14,Columbia,42
Hastings,23,Concordia NE,6
Rockford,0,Concordia WI,23
Gustavus Adolphus,38,Concordia-Moorhead,14
Augustana SD,22,Concordia-St Paul,16
Vanderbilt,21,Connecticut,40
Central IA,52,Cornell IA,0
Baker,63,Culver-Stockton,10
Lindsey Wilson,7,Cumberland TN,23
Union KY,21,Cumberlands KY,35
Midland,21,Dakota Wesleyan,19
Valparaiso,14,Dayton,48
Lebanon Valley,6,Delaware Valley,38
Wooster,38,Denison,28
Moravian,24,Dickinson,16
Briar Cliff,17,Dordt,7
Marist,0,Drake,42
Coe,24,Dubuque,22
Monmouth NJ,44,Duquesne,17
Bluffton,26,Earlham,7
SE Missouri St,28,Eastern Illinois,13
Kentucky St,7,Eastern Kentucky,58
Ohio U.,30,Eastern Michigan,17
Indiana PA,18,Edinboro,0
St Paul's,12,Elizabeth City St,30
Samford,19,Elon,24
Randolph-Macon,34,Emory & Henry,22
Curry,24,Endicott,28
North Carolina Wesleyan,24,Ferrum,14
Indianapolis,20,Findlay,3
South Carolina St,19,Florida A&M,0
Washburn,38,Fort Hays St,27
Colorado Mines,38,Fort Lewis,28
Benedict,13,Fort Valley St,41
Mass Maritime,20,Framingham St,48
Cal Poly SLO,17,Fresno St,38
Bethel KS,12,Friends,43
Mercyhurst,10,Gannon,14
Morehead St,10,Georgia St,37
Ursinus,49,Gettysburg,39
UNC-Pembroke,28,Glenville St,14
Missouri Valley,33,Graceland,12
Martin Luther,9,Greenville,10
Beloit,21,Grinnell,24
Washington and Lee,55,Guilford,29
Macalester,30,Hamline,49
Lambuth,0,Harding,27
East Texas Baptist,17,Hardin-Simmons,49
Trinity Bible,14,Haskell,27
Louisiana Tech,21,Hawai`i,41
Arkansas-Monticello,0,Henderson St,47
Saginaw Valley St,21,Hillsdale,35
Fordham,31,Holy Cross,36
Alma,0,Hope,38
Lincoln PA,14,Howard,28
Central Washington,24,Humboldt St,25
Wesley,61,Huntingdon AL,28
Gallaudet,13,Husson,6
Ohio State,24,Illinois,13
Lawrence,21,Illinois College,45
Southern Illinois,38,Illinois St,17
Michigan,42,Indiana,35
Quincy,22,Indiana St,56
Penn State,3,Iowa,24
Texas Tech,38,Iowa St,52
Waldorf,24,Iowa Wesleyan,30
Hartwick,17,Ithaca,29
San Diego,28,Jacksonville FL,35
Murray St,34,Jacksonville St,40
Delaware,13,James Madison,10
Minot St,19,Jamestown,14
Muhlenberg,30,Johns Hopkins,27
Winston-Salem St,49,Johnson C. Smith,3
Wabash,40,Kenyon,3
Ripon,56,Knox,14
Shippensburg,24,Kutztown,33
Harvard,35,Lafayette,10
Ferris St,22,Lake Erie,12
Sam Houston St,38,Lamar,10
Bacone,13,Langston,14
Pacific OR,0,Lewis & Clark,48
Savannah St,14,Liberty,52
St Joseph's IN,58,Lincoln MO,22
Avila,9,Lindenwood,53
Willamette,7,Linfield,35
Shaw,34,Livingstone,0
Buena Vista,14,Loras,17
Mary Hardin-Baylor,42,Louisiana College,38
Tennessee,14,LSU,16
King's PA,24,Lycoming,31
New Hampshire,13,Maine,16
Worcester St,32,Maine Maritime,61
Wisconsin Lutheran,40,Maranatha Baptist,7
Trinity Int'l,0,Marian IN,28
Tusculum,39,Mars Hill,45
Minnesota-Crookston,0,Mary,48
Duke,16,Maryland,21
Howard Payne,19,McMurry,51
Tulsa,48,Memphis,7
Whitworth,20,Menlo,7
St Anselm,14,Merrimack,52
Maryville,14,Methodist,17
Kent St,21,Miami OH,27
Wisconsin,24,Michigan St,34
Ohio Dominican,6,Michigan Tech,45
Incarnate Word,31,Midwestern St,38
Cheyney,20,Millersville,17
Augustana IL,28,Millikin,24
DePauw,35,Millsaps,21
Minnesota-Duluth,56,Minn St-Moorhead,7
Northwestern,29,Minnesota,28
Kentucky,35,Mississippi,42
Alcorn St,16,Mississippi St,49
Prairie View A&M,34,Mississippi Valley St,13
Youngstown St,25,Missouri St,35
NW Oklahoma St,43,Missouri S&T,14
UMass-Dartmouth,14,MIT,6
St Norbert,48,Monmouth IL,2
Carroll MT,65,Montana St-Northern,13
Montana-Western,26,Montana Tech,36
Bethune-Cookman,69,Morgan St,32
Brockport St,41,Morrisville St,48
Ohio Northern,0,Mount Union,27
Franklin,41,Mt St Joseph,10
Wilmington,0,Muskingum,3
Adams St,17,Nebraska-Kearney,27
Emporia St,17,Nebraska-Omaha,42
Cortland St,37,New Jersey,0
UTEP,38,New Mexico,20
Western St CO,31,New Mexico Highlands,32
Boise St,59,New Mexico St,0
Lenoir-Rhyne,36,Newberry,40
Arkansas Tech,0,North Alabama,28
East Carolina,17,North Carolina,42
Virginia Tech,41,North Carolina St,30
Carthage,8,North Central,43
Western Illinois,28,North Dakota St,16
Elmhurst,45,North Park,0
Louisiana-Lafayette,28,North Texas,27
West Texas A&M,34,Northeastern St OK,22
Montana,30,Northern Colorado,7
South Dakota St,14,Northern Iowa,24
St Cloud St,42,Northern St SD,10
Morningside,20,Northwestern IA,17
MacMurray,34,Northwestern MN,37
McNeese St,24,Northwestern St,7
Missouri Western,0,NW Missouri St,42
Wittenberg,27,Oberlin,21
Whittier,22,Occidental,25
Gardner-Webb,7,Old Dominion,14
Walsh,45,Olivet Nazarene,14
Stanford,31,Oregon,52
Arizona St,28,Oregon St,31
John Carroll,28,Otterbein,56
Dartmouth,28,Pennsylvania,35
Tabor,45,Peru St,48
Campbellsville,62,Pikeville,17
Missouri Southern,21,Pittsburg St,24
Florida Int'l,17,Pittsburgh,44
Nichols,0,Plymouth St,17
Idaho St,3,Portland St,38
Pacific Lutheran,31,Puget Sound,28
Cal Lutheran,24,Redlands,22
Brown,24,Rhode Island,27
LaGrange,42,Rhodes,28
SMU,42,Rice,31
Coastal Carolina,19,Richmond,41
RPI,17,Rochester,0
Eastern Oregon,55,Rocky Mountain,45
Manchester,7,Rose-Hulman,10
Tulane,17,Rutgers,14
Montana St,64,Sacramento St,61
Central Conn St,24,Sacred Heart,14
UC-Davis,14,San Jose St,13
Centre,64,Sewanee,13
Christopher Newport,28,Shenandoah,13
Faulkner,10,Shorter,31
Dixie St,28,Simon Fraser,21
Luther,30,Simpson,24
Nebraska Wesleyan,0,Sioux Falls,44
Kentucky Wesleyan,3,South Alabama,52
North Dakota,17,South Dakota,27
Mayville St,10,South Dakota Tech,58
Florida Atlantic,3,South Florida,31
Washington,32,Southern Cal,31
Marshall,16,Southern Miss,41
SW Assem of God,21,Southern Nazarene,35
Western Oregon,24,Southern Oregon,23
Arkansas-Pine Bluff,41,Southern U.,23
Northern Arizona,26,Southern Utah,23
Ottawa,51,Southwestern KS,0
Merchant Marine,0,Springfield,64
St Francis IL,27,St Ambrose,24
Fayetteville St,36,St Augustine's,42
Malone,17,St Francis IN,23
Robert Morris,35,St Francis PA,14
St Thomas,27,St John's MN,26
Hobart,21,St Lawrence,24
Bethel MN,19,St Olaf,17
Crown,21,St Scholastica,41
Geneva,27,St Vincent,23
Taylor,21,St Xavier,46
McPherson,31,Sterling,21
New Haven,49,Stonehill,28
Franklin & Marshall,41,Susquehanna,20
Wayne St NE,38,SW Minnesota St,20
Eastern New Mexico,10,SW Oklahoma St,21
SE Oklahoma St,14,TAMU-Commerce,19
