Away Team, Away Score, Home Team, Home Score
Dakota Wesleyan,42,Dordt,7
Lehigh,28,Drake,14
Elon,27,Duke,41
Bucknell,13,Duquesne,17
Sewanee,33,Earlham,14
Army,31,Eastern Michigan,27
Missouri S&T,7,Emporia St,23
Benedictine IL,42,Eureka,7
Emory & Henry,23,Ferrum,17
Tusculum,16,Findlay,3
Miami OH,12,Florida,34
Samford,6,Florida St,59
East Central OK,23,Fort Hays St,45
Morehouse,47,Fort Valley St,34
Endicott,33,Framingham St,27
Washington and Lee,7,Franklin & Marshall,35
Cincinnati,14,Fresno St,28
Geneva,32,Frostburg St,27
Brevard,14,Gardner-Webb,28
Louisiana-Lafayette,7,Georgia,55
Savannah St,3,Georgia Southern,48
South Carolina St,10,Georgia Tech,41
William Penn,30,Graceland,3
Louisiana Tech,20,Grambling St,6
Macalester,35,Grinnell,45
Carnegie Mellon,28,Grove City,21
Greensboro,17,Guilford,15
Southern Arkansas,0,Harding,20
Westminster PA,23,Hiram,6
Howard,7,Holy Cross,38
Illinois Wesleyan,20,Hope,16
Texas St-San Marcos,28,Houston,68
Maryville,3,Huntingdon AL,54
Montana-Western,3,Idaho St,32
Millikin,42,Illinois College,31
Southern Conn St,6,Indiana PA,16
St Joseph's IN,7,Indiana St,57
Eastern Illinois,7,Iowa,37
Coe,48,Iowa Wesleyan,21
St Lawrence,3,Ithaca,33
Delta St,17,Jackson St,32
Morehead St,7,James Madison,48
Peru St,54,Jamestown,56
McDaniel,3,Juniata,0
Bluffton,30,Kalamazoo,28
North Dakota St,6,Kansas,3
UCLA,22,Kansas St,31
Lane,14,Kentucky St,27
Oberlin,29,Kenyon,26
St Anselm,0,Kutztown,41
Concordia IL,52,Lake Forest,23
Carroll WI,35,Lakeland,21
Gettysburg,42,Lebanon Valley,28
Concord,20,Lenoir-Rhyne,17
St Francis PA,7,Liberty,52
Notre Dame OH,14,Lindsey Wilson,10
Elmhurst,26,Loras,14
Kentucky,23,Louisville,16
St Olaf,28,Luther,21
Minnesota-Morris,49,MacMurray,19
Martin Luther,42,Maranatha Baptist,18
William & Mary,23,Massachusetts,27
Olivet Nazarene,0,McKendree,41
Lamar,27,McNeese St,30
Haskell,0,McPherson,45
Gallaudet,34,Merchant Marine,35
Randolph-Macon,54,Methodist,14
Connecticut,10,Michigan,30
Western Michigan,14,Michigan St,38
Assumption,33,Millersville,28
Mississippi College,27,Millsaps,23
Jacksonville St,49,Mississippi,48
Memphis,7,Mississippi St,49
Illinois,13,Missouri,23
Lincoln MO,7,Missouri Southern,38
Western St CO,2,Montana,73
Fort Lewis,10,Montana St,59
Eastern Oregon,21,Montana Tech,39
Susquehanna,6,Moravian,12
Bowie St,7,Morgan St,14
Doane,7,Morningside,40
Hartwick,31,Morrisville St,20
Bridgewater St MA,34,Mount Ida,25
Wilmington,7,Mt St Joseph,24
Delaware Valley,27,Muhlenberg,7
Defiance,13,Muskingum,19
Western Kentucky,10,Nebraska,49
Nebraska-Kearney,32,Nebraska-Omaha,29
Central Conn St,3,New Hampshire,33
Livingstone,0,Newberry,55
Henderson St,10,North Alabama,27
LSU,30,North Carolina,24
Winston-Salem St,21,North Carolina A&T,14
Western Carolina,7,North Carolina St,48
Aurora,9,North Park,7
Adams St,0,Northern Colorado,54
Sioux Falls,41,Northwestern IA,24
Western New England,7,Norwich,35
Purdue,12,Notre Dame,23
Menlo,42,Occidental,25
Wofford,10,Ohio U.,33
Utah St,24,Oklahoma,31
Washington St,17,Oklahoma St,65
Jacksonville FL,35,Old Dominion,25
New Mexico,0,Oregon,72
East Stroudsburg,57,Pace,0
Youngstown St,14,Penn State,44
Chadron St,3,Pittsburg St,14
Pacific OR,19,Puget Sound,36
Texas,34,Rice,17
Wisconsin Lutheran,10,Ripon,20
Lycoming,17,Rowan,24
California PA,42,Saginaw Valley St,41
North Carolina Wesleyan,7,Salisbury,13
WPI,3,Salve Regina,6
Azusa Pacific,42,San Diego,14
Nicholls St,0,San Diego St,47
New Haven,34,Seton Hill,17
Virginia Union,27,Shaw,57
Catholic,16,Shenandoah,13
Western Oregon,38,Simon Fraser,0
Bethel MN,34,Simpson,12
Pikeville,0,South Alabama,56
Colorado Mines,52,South Dakota Tech,24
Stony Brook,14,South Florida,59
St Mary KS,17,Southern Nazarene,63
OK Panhandle St,32,Southwestern KS,27
Brockport St,12,St John Fisher,55
Northwestern MN,10,St John's MN,56
St Thomas,40,St Norbert,7
Lawrence,24,St Scholastica,31
Bridgewater VA,19,St Vincent,14
St Francis IL,21,St Xavier,52
Sacramento St,17,Stanford,52
Austin,28,SW Assem of God,6
Upper Iowa,10,TAMU-Commerce,33
Oregon St,21,TCU,30
Tennessee-Martin,0,Tennessee,50
Alabama A&M,14,Tennessee St,27
Stephen F. Austin,7,Texas A&M,48
Chowan,14,The Citadel,56
Marietta,28,Thiel,7
Waldorf,63,Trinity Bible,7
St Ambrose,17,Trinity Int'l,9
Howard Payne,34,Trinity TX,40
Bowling Green,27,Troy,30
SW Baptist,30,Truman St,33
Benedict,18,Tuskegee,34
Fitchburg St,15,UMass-Dartmouth,37
Fayetteville St,0,UNC-Pembroke,39
Campbellsville,47,Union KY,36
Wisconsin,41,UNLV,21
Arkansas-Pine Bluff,10,UTEP,31
Bethel TN,31,UW-Eau Claire,35
East Texas Baptist,33,UW-La Crosse,20
Willamette,33,UW-Stevens Point,14
Adrian,0,UW-Whitewater,35
Wingate,22,Valdosta St,25
Northwestern,23,Vanderbilt,21
Richmond,13,Virginia,34
Campbell,20,Virginia-Wise,16
Lock Haven,6,VMI,48
Kentucky Christian,7,Walsh,63
Monmouth IL,7,Wartburg,27
Abilene Christian,34,Washburn,26
Knox,3,Washington U.,34
Northwood,19,Wayne St MI,31
Georgetown KY,20,Webber Int'l,27
Concordia AL,20,West Georgia,24
Edinboro,20,West Liberty St,19
Coastal Carolina,0,West Virginia,31
Rhodes,17,Westminster MO,20
Hardin-Simmons,27,Whitworth,7
Olivet,6,Wittenberg,48
Anna Maria,21,Worcester St,49
Urbana,14,WV Wesleyan,17
Southern Utah,20,Wyoming,28
Tulsa,49,East Carolina,51
Cheyney,0,Lincoln PA,12
Delaware St,27,Southern U.,37
Stillman,29,Miles,35
Prairie View A&M,16,Texas Southern,14
SMU,27,Texas Tech,35
Navy,14,Maryland,17
Boise St,33,Virginia Tech,30
Arkansas Tech,25,Delta St,27
Auburn,17,Mississippi St,14
Lincoln MO,14,Missouri Western,81
Ouachita Baptist,38,Nebraska-Omaha,23
Central Michigan,10,Temple,13
UTEP,24,Houston,54
West Virginia,24,Marshall,21
Framingham St,20,Nichols,19
Pace,33,Stonehill,41
SUNY-Maritime,41,Western Conn St,28
Defiance,14,Adrian,40
Brigham Young,14,Air Force,35
Gardner-Webb,38,Akron,37
Penn State,3,Alabama,24
Central St OH,0,Alabama A&M,45
Arkansas-Pine Bluff,31,Alabama St,38
Clark Atlanta,13,Albany St GA,28
Wheaton,17,Albion,6
Carnegie Mellon,27,Allegheny,34
Maine Maritime,47,Anna Maria,0
Jacksonville FL,14,Appalachian St,45
The Citadel,6,Arizona,52
Northern Arizona,20,Arizona St,41
Louisiana-Monroe,7,Arkansas,31
Hawai`i,31,Army,28
Wagner,9,Assumption,24
Martin Luther,7,Augsburg,35
Central IA,28,Augustana IL,23
Texas Lutheran,14,Austin,20
La Verne,14,Azusa Pacific,59
Capital,7,Baldwin-Wallace,10
Liberty,27,Ball St,23
Buffalo,6,Baylor,34
St Norbert,31,Beloit,34
Augustana SD,10,Bemidji St,0
Kentucky St,26,Benedict,21
Ottawa,62,Bethel KS,23
Concordia WI,10,Bethel MN,54
Clarion,13,Bloomsburg,41
Trine,76,Bluffton,6
Kent St,13,Boston College,26
UMass-Dartmouth,7,Bridgewater St MA,10
Shenandoah,31,Bridgewater VA,38
St Anselm,21,Bryant,44
St John Fisher,54,Buffalo St,26
California PA,40,C.W. Post,13
Linfield,42,Cal Lutheran,47
Montana,33,Cal Poly SLO,35
Colorado,7,California,52
Old Dominion,44,Campbell,13
Illinois College,20,Carroll WI,34
Utica,59,Castleton St,22
Apprentice,32,Catholic,42
Bentley,14,Central Conn St,45
North Carolina St,28,Central Florida,21
Lindenwood,69,Central Methodist,7
Emporia St,13,Central Missouri,31
Tarleton St,21,Central Oklahoma,37
Eastern Washington,35,Central Washington,32
Wofford,34,Charleston Southern,23
Slippery Rock,30,Cheyney,0
Concordia IL,24,Chicago,56
Indiana St,7,Cincinnati,40
Lewis & Clark,21,Claremont-Mudd-Scripps,65
Presbyterian,21,Clemson,58
Merchant Marine,8,Coast Guard,10
Olivet Nazarene,7,Coe,45
Miles,20,Concordia AL,52
Valley City St,0,Concordia-Moorhead,42
St Cloud St,35,Concordia-St Paul,10
Texas Southern,3,Connecticut,62
Maranatha Baptist,14,Crown,48
Campbellsville,21,Cumberland TN,33
Concordia NE,0,Dakota Wesleyan,56
South Dakota St,3,Delaware,26
Florida A&M,17,Delaware St,14
Wash & Jeff,0,Delaware Valley,27
Earlham,20,Denison,41
Rose-Hulman,16,DePauw,45
Humboldt St,49,Dixie St,14
Dordt,10,Doane,36
Dayton,31,Duquesne,35
Memphis,27,East Carolina,49
TAMU-Kingsville,20,East Central OK,7
Indiana PA,23,East Stroudsburg,17
Redlands,21,East Texas Baptist,10
Central Arkansas,37,Eastern Illinois,7
Midwestern St,44,Eastern New Mexico,17
Carroll MT,49,Eastern Oregon,12
North Greenville,44,Edward Waters,14
Shaw,26,Elon,55
RPI,6,Endicott,3
Benedictine KS,38,Evangel,19
Notre Dame OH,0,Fairmont St,38
Birmingham-Southern,52,Faulkner,16
Bowie St,7,Fayetteville St,27
St Vincent,23,FDU-Florham,28
Saginaw Valley St,17,Ferris St,21
Curry,28,Fitchburg St,0
South Florida,14,Florida,38
Rutgers,19,Florida Int'l,14
Rhode Island,25,Fordham,27
Savannah St,10,Fort Valley St,41
Valparaiso,7,Franklin,42
Ursinus,10,Franklin & Marshall,7
McPherson,52,Friends,20
Wesley,47,Frostburg St,0
Colgate,15,Furman,45
Albright,54,Geneva,27
Lambuth,23,Georgia St,14
North Alabama,54,Glenville St,10
Hillsdale,41,Grand Valley St,44
Emory & Henry,28,Greensboro,6
Anderson,35,Greenville,41
Methodist,26,Guilford,21
Wartburg,27,Gustavus Adolphus,6
Pacific Lutheran,27,Hamline,20
North Carolina Wesleyan,19,Hampden-Sydney,21
Thomas More,56,Hanover,12
Willamette,22,Hardin-Simmons,31
Salve Regina,19,Hartwick,20
Southern Nazarene,70,Haskell,0
Northwestern IA,24,Hastings,10
Dickinson,7,Hobart,38
Hampton,31,Howard,21
SW Assem of God,7,Howard Payne,32
Springfield,51,Husson,0
Southern Illinois,3,Illinois,35
Alma,14,Illinois Wesleyan,35
Ashland,12,Indianapolis,17
Iowa St,7,Iowa,35
St Francis IN,70,Iowa Wesleyan,7
Union NY,20,Ithaca,28
Chattanooga,17,Jacksonville St,21
West Virginia Tech,21,Johnson C. Smith,45
Manchester,27,Kalamazoo,10
Georgia Tech,25,Kansas,28
Missouri St,24,Kansas St,48
Cortland St,24,Kean,12
Western Kentucky,28,Kentucky,63
Pikeville,28,Kentucky Wesleyan,34
Hiram,21,Kenyon,13
Bethany WV,31,King's PA,29
Mercyhurst,14,Kutztown,35
Georgetown DC,28,Lafayette,24
Millsaps,21,LaGrange,27
Michigan Tech,42,Lake Erie,13
Carthage,35,Lakeland,34
Webber Int'l,14,Lamar,21
Knox,12,Lawrence,33
Grove City,17,Lebanon Valley,14
Villanova,35,Lehigh,0
Davidson,13,Lenoir-Rhyne,41
Southern Virginia,3,Lindsey Wilson,44
Catawba,59,Livingstone,8
Huntingdon AL,62,Louisiana College,56
Arkansas St,24,Louisiana-Lafayette,31
Eastern Kentucky,13,Louisville,23
Westminster PA,10,Lycoming,40
Cornell IA,20,Macalester,24
Aurora,45,MacMurray,12
McKendree,12,Marian IN,45
Bucknell,3,Marist,14
SW Minnesota St,21,Mary,14
Morgan St,3,Maryland,62
Centre,35,Maryville,0
Holy Cross,7,Massachusetts,31
Moravian,10,McDaniel,13
Texas College,0,McMurry,64
Chapman,10,Menlo,21
Eastern Michigan,21,Miami OH,28
Florida Atlantic,17,Michigan St,30
Baker,16,MidAmerica Nazarene,24
Austin Peay,33,Middle Tennessee St,56
Sioux Falls,37,Midland,7
Lock Haven,21,Millersville,35
South Dakota,41,Minnesota,38
Westminster MO,14,Minnesota-Morris,20
Belhaven,14,Mississippi College,21
McNeese St,6,Missouri,50
Drake,28,Missouri S&T,14
Culver-Stockton,0,Missouri Valley,70
Becker,13,MIT,21
Grinnell,17,Monmouth IL,15
Maine,31,Monmouth NJ,23
Montana Tech,17,Montana St-Northern,13
Westfield St,0,Montclair St,34
St Francis PA,21,Morehead St,31
Lane,6,Morehouse,49
SE Missouri St,30,Murray St,17
Georgia Southern,7,Navy,13
Idaho,17,Nebraska,38
Morningside,23,Nebraska Wesleyan,12
Colorado St,6,Nevada,51
Lincoln PA,0,New Haven,30
Texas Tech,52,New Mexico,17
San Diego St,41,New Mexico St,21
Valdosta St,45,Newberry,17
North Carolina A&T,14,Norfolk St,23
Winston-Salem St,34,North Carolina Central,27
Benedictine IL,20,North Park,31
Rice,32,North Texas,31
Abilene Christian,43,Northeastern St OK,13
North Dakota,17,Northern Illinois,23
North Dakota St,9,Northern Iowa,16
Findlay,10,Northern Michigan,49
Minn St-Mankato,21,Northern St SD,14
Illinois St,3,Northwestern,37
Luther,31,Northwestern MN,7
Samford,19,Northwestern St,7
Michigan,28,Notre Dame,24
Puget Sound,14,Occidental,44
Northwood,28,Ohio Dominican,12
Miami FL,24,Ohio State,36
Toledo,20,Ohio U.,13
New Mexico Highlands,6,OK Panhandle St,14
Florida St,17,Oklahoma,47
Troy,38,Oklahoma St,41
Elmhurst,37,Olivet,7
Buena Vista,27,Peru St,7
New Hampshire,16,Pittsburgh,38
Mount Ida,41,Plymouth St,16
Whitworth,35,Pomona-Pitzer,7
Western Illinois,21,Purdue,31
Johns Hopkins,37,Randolph-Macon,41
Washington U.,10,Rhodes,14
Lake Forest,19,Ripon,64
Case Western Reserve,14,Rochester,10
Loras,31,Rockford,21
Montana-Western,31,Rocky Mountain,33
Western Oregon,17,Sacramento St,31
Robert Morris,35,Sacred Heart,31
Christopher Newport,10,Salisbury,58
Tennessee-Martin,10,SE Louisiana St,24
Incarnate Word,19,SE Oklahoma St,38
Washington and Lee,48,Sewanee,17
St Joseph's IN,0,Shepherd,55
Gannon,22,Shippensburg,19
Southern Oregon,31,Simon Fraser,18
Alabama-Birmingham,7,SMU,28
Georgia,6,South Carolina,17
Mississippi Valley St,0,South Carolina St,44
Virginia,14,Southern Cal,17
West Liberty St,49,Southern Conn St,35
Prairie View A&M,7,Southern Miss,34
Arkansas-Monticello,31,Southern U.,7
San Diego,3,Southern Utah,32
Malone,7,St Ambrose,28
Mars Hill,41,St Augustine's,12
Grand View,10,St Francis IL,17
Norwich,25,St Lawrence,14
Bethany KS,51,St Mary KS,27
Simpson,0,St Olaf,34
UNC-Pembroke,42,St Paul's,14
Eureka,21,St Scholastica,38
UW-River Falls,3,St Thomas,27
Trinity Int'l,6,St Xavier,62
Albany NY,14,Stephen F. Austin,59
Southwestern KS,17,Sterling,28
Tuskegee,41,Stillman,15
American Int'l,14,Stony Brook,31
Western New Mexico,35,Sul Ross St,32
Juniata,3,Susquehanna,45
Bacone,12,SW Baptist,21
West Texas A&M,77,SW Oklahoma St,14
Kansas Wesleyan,23,Tabor,20
Angelo St,31,TAMU-Commerce,10
William Penn,44,Taylor,19
Tennessee Tech,7,TCU,62
Oregon,48,Tennessee,13
Jackson St,33,Tennessee St,26
Wyoming,7,Texas,34
Louisiana Tech,16,Texas A&M,48
Southern Arkansas,17,Texas St-San Marcos,31
Wayne St MI,63,Tiffin,14
Coastal Carolina,45,Towson,47
Mayville St,31,Trinity Bible,0
Mississippi,27,Tulane,13
Bowling Green,20,Tulsa,33
Portland St,41,UC-Davis,33
Stanford,35,UCLA,0
Kentucky Christian,0,Union KY,48
Minnesota-Duluth,62,Upper Iowa,13
Seton Hill,13,Urbana,44
UNLV,10,Utah,38
Idaho St,17,Utah St,38
St John's MN,20,UW-Eau Claire,23
Mary Hardin-Baylor,24,UW-La Crosse,19
Mount Union,45,UW-Oshkosh,28
Dubuque,17,UW-Platteville,21
Jamestown,24,UW-Stout,27
Dakota St,7,UW-Whitewater,70
LSU,27,Vanderbilt,3
West Virginia St,21,Virginia St,34
James Madison,21,Virginia Tech,16
Cumberlands KY,55,Virginia-Wise,10
Wooster,17,Wabash,21
Duke,48,Wake Forest,54
Briar Cliff,37,Waldorf,7
Quincy,0,Walsh,38
Syracuse,20,Washington,41
Montana St,22,Washington St,23
