Rank     Team                            W-L-T    Rating
161        Texas Tech                      2-4-0    37.0297
162        Oklahoma St                     0-1-0    37.0297
163        Brigham Young                   3-2-0    36.9946
164        Buffalo                         4-2-0    36.7497
165        Massachusetts                   2-2-0    36.5572
166        UTEP                            4-1-0    36.4452
167        Bowling Green                   3-2-0    36.4441
168        Rutgers                         2-2-0    36.4416
169        William & Mary                  4-1-0    36.4363
170        Jacksonville St                 4-0-0    36.4178
171        Ohio Dominican                  3-1-0    36.2928
172        Southern Oregon                 4-1-0    36.1581
173        Northwestern                    2-3-0    36.0902
174        Sam Houston St                  4-1-0    36.0851
175        Mississippi                     0-1-0    35.9565
176        Indiana                         2-2-0    35.9431
177        TAMU-Commerce                   6-1-0    35.7854
178        Vanderbilt                      3-2-0    35.7645
179        Texas                           0-1-0    35.7239
180        Southern Miss                   0-1-0    35.721
181        Northern Illinois               4-1-0    35.6788
182        Memphis                         3-1-0    35.4487
183        Wisconsin                       2-2-0    35.3854
184        Northern Arizona                4-0-0    35.1218
185        Eastern Washington              6-0-0    35.0859
186        Kansas                          0-1-0    35.0297
187        Texas Tech                      1-3-0    34.9692
188        Youngstown St                   2-2-0    34.8484
189        Boise St                        3-2-0    34.8
190        Hawai`i                         2-4-0    34.7994
191        Memphis                         0-1-0    34.7226
192        Chattanooga                     4-1-0    34.5985
193        Iowa St                         1-4-0    34.4804
194        Oklahoma St                     0-1-0    34.3909
195        James Madison                   3-1-0    34.21
196        Syracuse                        1-5-0    34.1904
197        Ohio U.                         4-1-0    34.1475
198        Indiana St                      4-2-0    34.0323
199        Oregon St                       2-2-0    34.0254
200        Coastal Carolina                7-0-0    34.0112
201        San Jose St                     2-2-0    33.9608
202        Angelo St                       4-0-0    33.9335
203        San Diego St                    4-0-0    33.6121
204        Alabama-Birmingham              3-2-0    33.5747
205        Texas A&M                       0-1-0    33.5009
206        Concord                         6-0-0    33.4863
207        Northwestern St                 3-2-0    33.1854
208        East Carolina                   2-3-0    33.1234
209        North Carolina                  1-4-0    33.1019
210        Illinois St                     3-1-0    33.0952
211        UW-Whitewater                   4-0-0    33.0259
212        Pittsburgh                      2-4-0    32.9871
213        South Alabama                   3-0-0    32.8816
214        Northern Illinois               4-1-0    32.7994
215        Iowa St                         1-3-0    32.5949
216        San Jose St                     0-1-0    32.591
217        Syracuse                        2-0-0    32.5
218        Colorado                        1-5-0    32.461
219        Youngstown St                   5-2-0    32.4598
220        Central Michigan                3-1-0    32.2939
221        Northern Iowa                   3-3-0    32.1691
222        Colorado                        1-3-0    32.0862
223        Western Michigan                3-1-0    31.8097
224        Houston                         3-2-0    31.7697
225        Missouri St                     2-3-0    31.6081
226        Fordham                         4-0-0    31.4317
227        South Florida                   2-2-0    31.3073
228        Humboldt St                     5-0-0    31.1149
229        Florida Int'l                   1-2-0    31.1041
230        Tulsa                           0-1-0    31.0335
231        Wyoming                         1-4-0    30.7456
232        UTEP                            2-2-0    30.7306
233        Purdue                          2-5-0    30.6175
234        McNeese St                      4-1-0    30.5901
235        Houston                         2-1-0    30.4677
236        Indiana St                      3-2-0    30.3759
237        Weber St                        0-1-0    30.3488
238        Duquesne                        4-2-0    30.218
239        Tulsa                           2-2-0    30.1786
240        Bethune-Cookman                 5-0-0    30.1109
241        Appalachian St                  2-3-0    30.0227
242        Texas St-San Marcos             3-2-0    29.9543
243        Southern Oregon                 5-1-0    29.7966
244        North Texas                     3-2-0    29.7912
245        Fresno St                       3-2-0    29.7509
246        Southern Illinois               4-2-0    29.6348
247        Rice                            3-3-0    29.5609
248        Indiana                         0-1-0    29.5099
249        Cal Poly SLO                    4-1-0    29.4498
250        Liberty                         4-2-0    29.4033
251        Grand Valley St                 3-2-0    29.3751
252        Southern Miss                   1-4-0    29.3638
253        Western Illinois                2-3-0    29.2832
254        South Dakota St                 3-3-0    29.2754
255        William & Mary                  3-1-0    29.2332
256        Bryant                          5-0-0    29.2283
257        Western Michigan                4-2-0    29.1639
258        LSU                             0-2-0    29.1363
259        Monmouth NJ                     3-0-0    28.9049
260        Ashland                         3-2-0    28.8203
261        Bloomsburg                      5-0-0    28.626
262        McNeese St                      2-2-0    28.5611
263        Chattanooga                     4-2-0    28.5046
264        Army                            3-1-0    28.5024
265        Missouri St                     0-1-0    28.482
266        Marian IN                       4-0-0    28.2497
267        Harvard                         4-0-0    28.2226
268        Western Carolina                5-0-0    28.1445
269        Alcorn St                       6-0-0    27.8302
270        Wagner                          3-0-0    27.7767
271        Louisiana-Monroe                3-2-0    27.7385
272        Tennessee                       0-1-0    27.7226
273        Vanderbilt                      0-1-0    27.7217
274        Florida Atlantic                0-2-0    27.7095
275        Eastern Kentucky                4-0-0    27.6775
276        Lenoir-Rhyne                    6-0-0    27.5527
277        Harvard                         5-0-0    27.4229
278        South Alabama                   3-1-0    27.418
279        Delta St                        4-1-0    27.4114
280        Western Kentucky                1-4-0    27.2866
281        Eastern Oregon                  5-1-0    27.2357
282        Maine                           2-1-0    27.1371
283        West Chester                    5-0-0    27.1111
284        Miami FL                        1-3-0    27.0105
285        Northwestern St                 3-2-0    26.9347
286        Eastern Illinois                2-5-0    26.8848
287        Eastern Washington              3-2-0    26.8661
288        Wayne St MI                     3-1-0    26.8438
289        Utica                           3-0-0    26.8027
290        Georgia Southern                4-3-0    26.7557
291        Tulane                          2-2-0    26.7353
292        Rice                            3-1-0    26.7276
293        Sacred Heart                    4-0-0    26.6801
294        West Georgia                    6-0-0    26.6776
295        Akron                           3-2-0    26.6301
296        New Mexico                      3-2-0    26.6069
297        Wyoming                         0-1-0    26.476
298        Southern Miss                   2-3-0    26.4332
299        Eastern Kentucky                5-1-0    26.4165
300        Louisiana-Lafayette             4-1-0    26.4131
301        Wofford                         4-0-0    26.3709
302        Concord                         5-0-0    26.2119
303        South Florida                   2-3-0    26.1529
304        Jacksonville FL                 4-0-0    26.1108
305        Ball St                         2-3-0    26.0943
306        Charleston Southern             3-2-0    26.0507
307        Massachusetts                   1-3-0    25.9491
