Rank     Team                            W-L-T    Rating
160        Nebraska                        0-2-1    -1.1429
161        Maryland                        1-1-0    -1.5
162        Penn State                      0-1-1    -4.8
163        Texas                           1-0-0    -5.2381
164        Navy Transport                  0-1-0    -5.4286
165        Oregon                          1-1-0    -6.5
166        Davidson                        0-1-0    -7.0
167        Citadel                         0-1-1    -7.0
168        Oregon                          0-1-0    -7.0
169        Ohio State                      0-2-0    -7.25
170        Notre Dame                      0-1-1    -7.4286
171        Minnesota                       1-1-1    -7.6912
172        Penn State                      1-1-0    -8.0
173        Michigan State                  0-2-0    -8.25
174        Syracuse                        0-1-0    -8.25
175        Oregon State                    1-3-0    -8.5
176        Furman                          0-2-1    -8.6667
177        Erskine                         1-0-0    -8.7059
178        Hyde Park High                  0-1-0    -8.75
179        Crane J.C.                      0-1-1    -8.75
180        South Carolina                  0-1-1    -8.75
181        Camp Logan                      1-0-0    -9.2381
182        Texas Christian                 0-1-0    -9.2381
183        Purdue                          1-2-0    -9.4545
184        Case                            0-1-0    -9.4545
185        Lehigh                          1-2-0    -9.8
186        Chanute Field                   0-1-0    -10.0
187        Virginia Military Institute     0-1-0    -10.0
188        Pittsburgh                      0-1-0    -10.0
189        Colorado State                  0-1-0    -10.0
190        Texas Christian                 0-1-0    -10.0
191        Navy                            0-1-0    -10.0
192        Penn Radio School               0-2-0    -10.2381
193        Western Michigan                0-1-0    -10.4286
194        Presidio of San Francisco       0-1-0    -10.8
195        Harvard                         1-1-0    -10.8571
196        New York University             0-1-0    -11.0
197        Indiana                         0-1-0    -11.0
198        Colorado                        0-2-0    -11.2
199        Lafayette                       3-0-0    -11.6912
200        McDaniel                        0-1-0    -12.0
201        Balboa NTS                      0-1-0    -12.0
202        St. John's (Maryland)           0-1-0    -12.0
203        Camp Harrison                   0-1-0    -12.0909
204        Oklahoma State                  0-1-0    -12.2381
205        Camp Mabry                      0-2-0    -12.2381
206        Rice                            0-5-1    -12.3333
207        Columbia                        0-1-0    -12.4286
208        Denver                          1-1-0    -12.8
209        Wissahickon Barracks            0-0-1    -13.0
210        Iowa State                      0-1-0    -13.0
211        Citadel                         0-1-0    -13.0
212        Lehigh                          0-1-0    -13.0
213        Phillips                        0-1-0    -13.0
214        Missouri State                  0-1-0    -13.0
215        Love Field                      0-1-0    -13.0
216        Nebraska                        0-1-0    -13.3333
217        Rutgers                         0-1-0    -13.4286
218        California                      1-2-0    -13.6
219        Washington & Jefferson          0-2-0    -14.0
220        Georgia Tech                    0-1-0    -14.0
221        Pennsylvania                    0-1-0    -14.0
222        Simpson                         0-1-0    -14.0
223        Pennsylvania                    0-1-0    -14.0
224        Indiana (Pennsylvania)          0-1-0    -14.0
225        Pelham Bay Navy                 0-1-0    -14.0
226        Oregon State                    0-1-0    -14.0
227        Washington                      0-1-0    -14.0
228        Illinois                        0-2-0    -14.0
229        Texas A&M                       0-1-0    -14.0
230        Vancouver Barracks              0-1-0    -14.0
231        Swarthmore                      0-1-0    -14.0
232        Northwestern                    0-1-1    -14.0
233        Ream Field                      2-2-0    -14.2381
234        Boston College                  0-1-0    -15.0
235        Southwestern (Texas)            0-1-0    -15.2381
236        Minnesota Alumni                0-0-1    -15.75
237        Colorado College                1-1-0    -15.8
238        Northern Colorado               0-1-0    -15.8
239        Colorado                        0-1-0    -16.0
240        Camp Travis                     0-2-0    -16.2381
241        Albion                          0-1-0    -16.4286
242        Washington & Lee                0-2-0    -16.7059
243        Wabash                          0-2-0    -17.4545
244        Baylor                          0-5-0    -18.0
245        Ohio State                      0-1-0    -18.0
246        Chicago                         0-2-0    -18.0909
247        Southern Methodist              0-2-0    -18.2381
248        Northwestern                    0-1-0    -18.6912
249        Brown                           0-1-0    -19.0
250        Iowa State                      0-2-0    -19.0
251        North Carolina                  0-2-0    -19.5
