Rank     Team                            W-L-T    Rating
160        Kent St                         6-2-0    36.9706
161        Valdosta St                     5-1-0    36.9096
162        Syracuse                        3-3-0    36.7553
163        Arizona                         1-2-0    36.7281
164        Eastern Kentucky                4-1-0    36.3888
165        Missouri                        0-1-0    36.2345
166        Michigan                        0-2-0    36.2164
167        Pittsburgh                      4-2-0    36.0823
168        Kansas                          1-4-0    36.0693
169        Baylor                          2-4-0    35.9562
170        Georgia Southern                6-1-0    35.9232
171        Louisiana-Lafayette             3-3-0    35.7148
172        Ohio U.                         5-1-0    35.6507
173        Jacksonville St                 5-0-0    35.4083
174        San Diego St                    3-2-0    35.4062
175        Central Arkansas                6-0-0    35.3486
176        Minn St-Mankato                 8-1-0    35.3
177        Connecticut                     3-2-0    35.2417
178        LSU                             0-1-0    35.2345
179        Georgia Tech                    4-4-0    35.0971
180        North Dakota St                 8-1-0    35.0701
181        North Carolina                  2-3-0    34.7801
182        Troy                            2-4-0    34.7491
183        Miami FL                        3-2-0    34.7064
184        Sam Houston St                  6-3-0    34.6268
185        Winston-Salem St                9-0-0    34.5119
186        Grand Valley St                 4-2-0    34.35
187        Southern Illinois               3-1-0    34.2372
188        Miami OH                        3-2-0    33.906
189        Buffalo                         3-1-0    33.8851
190        Houston                         4-2-0    33.8736
191        Ashland                         1-0-0    33.8106
192        Rice                            4-3-0    33.7784
193        Ohio U.                         4-2-0    33.647
194        Central Washington              5-0-0    33.4993
195        Wofford                         6-0-0    33.4051
196        Old Dominion                    5-0-0    33.3484
197        Wofford                         3-1-0    33.3142
198        Bloomsburg                      5-0-0    33.2102
199        Navy                            0-1-0    33.1835
200        Iowa                            2-3-0    33.0922
201        Appalachian St                  4-1-0    33.09
202        Ferris St                       5-1-0    33.0578
203        Bowling Green                   5-2-0    33.0572
204        Cal Poly SLO                    5-0-0    33.0456
205        Indiana PA                      7-0-0    32.9806
206        Montana St                      6-2-0    32.7422
207        Central Michigan                4-3-0    32.4123
208        Tennessee                       0-4-0    32.4083
209        Henderson St                    5-0-0    31.9484
210        South Dakota St                 3-2-0    31.7432
211        Nebraska                        3-4-0    31.6588
212        Central Arkansas                3-3-0    31.5965
213        Winona St                       5-1-0    31.4347
214        Sioux Falls                     6-0-0    31.0703
215        Rice                            3-3-0    30.8287
216        South Alabama                   1-0-0    30.8248
217        New Mexico                      2-4-0    30.8155
218        Sam Houston St                  5-1-0    30.7919
219        Virginia                        3-4-0    30.7414
220        Western Kentucky                3-3-0    30.6616
221        Toledo                          4-3-0    30.6406
222        Louisiana-Monroe                3-3-0    30.2868
223        Florida Int'l                   1-4-0    30.1313
224        Temple                          2-4-0    30.1264
225        Illinois St                     6-1-0    30.1039
226        North Texas                     3-1-0    30.0336
227        Montana St                      5-0-0    29.9122
228        Michigan Tech                   3-2-0    29.9004
229        Shippensburg                    7-0-0    29.897
230        Washington St                   2-4-0    29.8199
231        Western Michigan                3-3-0    29.8164
232        Georgia Southern                4-3-0    29.8064
233        Towson                          3-3-0    29.6377
234        Purdue                          2-4-0    29.4279
235        Mount Union                     9-0-0    29.4051
236        Middle Tennessee St             3-2-0    29.3246
237        Iowa                            2-3-0    29.2635
238        Hillsdale                       4-1-0    29.1747
239        West Texas A&M                  4-1-0    29.0108
240        Navy                            5-1-0    28.8834
241        Tulsa                           3-3-0    28.87
242        Bowling Green                   3-2-0    28.8547
243        Memphis                         3-3-0    28.7674
244        Washington                      2-4-0    28.766
245        Harding                         6-0-0    28.67
246        California                      0-1-0    28.5118
247        Appalachian St                  4-3-0    28.4449
248        Northern Michigan               3-3-0    28.2898
249        Murray St                       3-2-0    28.1487
250        Nevada                          2-4-0    28.143
251        Pittsburgh                      2-5-0    28.0472
252        The Citadel                     3-2-0    28.0153
253        Tennessee-Martin                4-1-0    27.9773
254        California                      0-1-0    27.9721
255        Northwood                       3-2-0    27.9401
256        SMU                             2-4-0    27.8892
257        California                      1-3-0    27.779
258        Towson                          4-1-0    27.68
259        Indiana St                      3-1-0    27.6049
260        Indiana St                      4-2-0    27.5765
261        Connecticut                     2-2-0    27.5527
262        Western Michigan                1-4-0    27.5353
263        Maryland                        2-4-0    27.496
264        Kutztown                        4-1-0    27.4284
265        Boston College                  2-3-0    27.3771
266        Northern Arizona                5-0-0    27.1547
267        Pittsburg St                    4-1-0    27.1351
268        Chattanooga                     3-3-0    26.9047
269        South Florida                   1-4-0    26.8111
270        Delaware St                     0-1-0    26.7892
271        Florida Int'l                   0-1-0    26.7438
272        Stony Brook                     7-0-0    26.6751
273        Wake Forest                     4-3-0    26.6175
274        American Int'l                  2-0-0    26.4461
275        Tulane                          2-4-0    26.446
276        New Mexico                      2-3-0    26.4333
277        Temple                          2-3-0    26.3919
278        Youngstown St                   2-2-0    26.3447
279        The Citadel                     4-1-0    26.228
280        McNeese St                      4-1-0    26.0735
281        San Diego                       5-0-0    25.9686
282        Drake                           5-1-0    25.9631
283        Texas-San Antonio               4-2-0    25.9612
284        Northern Iowa                   3-2-0    25.9393
285        Coastal Carolina                3-2-0    25.7814
286        Texas St-San Marcos             3-3-0    25.7757
287        Army                            2-4-0    25.5624
288        Missouri St                     2-2-0    25.5339
289        Marshall                        3-3-0    25.4965
290        Marian IN                       7-0-0    25.4025
291        East Carolina                   3-3-0    25.3204
292        Sioux Falls                     3-1-0    25.273
293        Ohio Dominican                  3-2-0    25.0367
294        Chattanooga                     3-2-0    24.8698
295        Colorado St-Pueblo              6-1-0    24.7769
296        Villanova                       5-2-0    24.6112
297        Murray St                       2-3-0    24.5596
298        UNLV                            2-5-0    24.4133
299        Utah                            1-3-0    24.3788
300        Auburn                          0-3-0    24.358
301        Arkansas                        1-3-0    24.3546
302        Winona St                       5-1-0    24.3515
303        Tennessee-Martin                4-1-0    24.3284
304        Kansas                          0-5-0    24.2881
305        Vanderbilt                      0-1-0    24.2772
306        West Texas A&M                  8-2-0    24.276
307        Old Dominion                    6-2-0    24.2736
308        North Carolina St               2-5-0    24.204
309        Chadron St                      4-1-0    24.1561
310        Marshall                        2-4-0    23.9553
311        New Haven                       5-1-0    23.9104
312        James Madison                   5-2-0    23.9027
313        Troy                            3-3-0    23.6769
314        Houston                         1-3-0    23.6618
315        Alabama-Birmingham              2-3-0    23.6515
316        Central Michigan                3-2-0    23.5347
317        Hawai`i                         3-3-0    23.5228
318        Indianapolis                    6-0-0    23.5043
319        Wake Forest                     1-1-0    23.3224
320        Colgate                         4-0-0    23.2659
321        Idaho St                        0-1-0    23.2248
322        Illinois St                     3-2-0    23.0997
323        Missouri Western                6-1-0    23.0848
324        St Cloud St                     2-3-0    23.0562
325        Maryland                        1-4-0    23.0508
326        Minnesota-Duluth                4-2-0    23.0058
327        Humboldt St                     5-1-0    22.9901
328        Harvard                         6-0-0    22.7455
329        Henderson St                    5-1-0    22.6655
