Rank     Team                            W-L-T    Schedule Factor
161        TCU                             3-1-0    39.4365
162        Rutgers                         0-1-0    39.1394
163        Michigan                        4-2-0    38.9595
164        Western Kentucky                1-4-0    38.8866
165        Miami FL                        5-1-0    38.6552
166        Kentucky                        5-2-0    38.6185
167        Missouri St                     0-1-0    38.6023
168        Youngstown St                   2-2-0    38.5984
169        Tulsa                           0-4-0    38.5656
170        Kansas                          3-2-0    38.5296
171        Notre Dame                      3-2-0    38.4127
172        Nevada                          3-2-0    38.3843
173        Oregon St                       3-3-0    38.3349
174        SMU                             0-2-0    38.2706
175        Bowling Green                   3-2-0    38.2441
176        Kent St                         0-2-0    38.1825
177        Iowa                            3-2-0    38.1811
178        Cincinnati                      2-2-0    38.0919
179        Adams St                        0-1-0    37.9728
180        Black Hills St                  0-1-0    37.9728
181        West Texas A&M                  0-1-0    37.9728
182        Vanderbilt                      3-2-0    37.9645
183        Washington                      3-3-0    37.9384
184        James Madison                   0-1-0    37.8641
185        North Dakota St                 0-1-0    37.7551
186        Northern Colorado               0-1-0    37.7551
187        Indiana                         2-2-0    37.6931
188        Virginia Tech                   2-3-0    37.6103
189        Pittsburgh                      2-4-0    37.4871
190        Southern Miss                   2-3-0    37.4332
191        Notre Dame                      4-1-0    37.4182
192        San Diego St                    0-1-0    37.4143
193        Florida A&M                     0-2-0    37.3404
194        Ohio State                      4-1-0    37.3398
195        Pittsburgh                      2-2-0    37.2957
196        Washington                      3-2-0    37.2266
197        SMU                             0-2-0    37.1039
198        South Florida                   2-2-0    37.0573
199        Michigan St                     5-1-0    37.0513
200        Louisiana-Monroe                0-4-0    36.7444
201        Utah St                         3-2-0    36.7221
202        Colorado St                     4-1-0    36.7018
203        Fresno St                       1-4-0    36.6123
204        Clemson                         5-0-0    36.6045
205        East Carolina                   2-3-0    36.5234
206        North Carolina St               4-3-0    36.5186
207        UW-Oshkosh                      0-2-0    36.4908
208        Northwestern                    0-1-0    36.4625
209        Louisiana Tech                  4-2-0    36.4503
210        Jacksonville FL                 0-1-0    36.4009
211        McNeese St                      0-1-0    36.4009
212        Baylor                          4-1-0    36.3553
213        Tulane                          1-3-0    36.0833
214        San Jose St                     1-3-0    36.0749
215        Missouri St                     2-3-0    35.8081
216        New Mexico                      0-5-0    35.7402
217        Wake Forest                     0-4-0    35.7354
218        Northwood                       0-2-0    35.6661
219        Indiana                         1-4-0    35.6033
220        Tennessee-Martin                2-4-0    35.3281
221        UNLV                            0-6-0    35.2504
222        South Florida                   2-3-0    35.1529
223        Nicholls St                     0-3-0    35.1526
224        Penn State                      2-1-0    35.0893
225        Appalachian St                  2-3-0    35.0227
226        Nebraska                        6-0-0    35.0053
227        South Dakota                    0-5-0    34.9895
228        Cincinnati                      4-1-0    34.965
229        Navy                            3-4-0    34.9325
230        Penn State                      4-2-0    34.8983
231        Saginaw Valley St               0-1-0    34.8231
232        Arizona St                      4-1-0    34.7638
233        Louisville                      3-2-0    34.7507
234        Rice                            3-3-0    34.7276
235        Fordham                         0-1-0    34.6615
236        Georgia                         5-0-0    34.6608
237        Tennessee                       4-1-0    34.5901
238        Savannah St                     0-3-0    34.4779
239        Duke                            4-1-0    34.4747
240        Memphis                         4-1-0    34.4715
241        Georgia Tech                    4-1-0    34.4708
242        San Diego St                    1-4-0    34.4249
243        South Dakota St                 3-3-0    34.2754
244        Miami FL                        1-3-0    34.2605
245        South Florida                   0-1-0    34.2216
246        Michigan                        1-2-0    34.1352
247        Ball St                         1-4-0    34.0825
248        Boise St                        3-2-0    34.0
249        Tulane                          0-1-0    33.8064
250        Wisconsin                       6-0-0    33.7912
251        Old Dominion                    1-4-0    33.6195
252        Boise St                        5-0-0    33.4513
253        Middle Tennessee St             1-4-0    33.4262
254        Miami OH                        0-6-0    33.3957
255        Miami OH                        2-3-0    33.333
256        Navy                            2-1-0    33.2225
257        Southern Utah                   0-1-0    33.0293
258        Brigham Young                   3-2-0    32.9946
259        Kent St                         0-3-0    32.9777
260        LSU                             6-2-0    32.8354
261        Nevada                          3-2-0    32.7939
262        New Mexico St                   1-4-0    32.6352
263        Texas                           3-0-0    32.6091
264        Hillsdale                       0-1-0    32.5742
265        Texas-San Antonio               0-2-0    32.4227
266        North Carolina St               2-1-0    32.3301
267        Louisville                      4-1-0    32.3089
268        Western Carolina                0-1-0    32.2586
269        Arkansas St                     4-1-0    32.1638
270        Maryland                        4-0-0    31.9589
271        Montana-Western                 0-2-0    31.8681
272        Connecticut                     0-3-0    31.6435
273        Tennessee Tech                  0-3-0    31.5614
274        Eastern Illinois                2-5-0    31.3134
275        Alderson-Broaddus               0-1-0    31.3067
276        Virginia St                     0-1-0    31.3067
277        Austin Peay                     0-2-0    31.2145
278        Central Florida                 1-3-0    31.2014
279        Princeton                       0-1-0    31.1768
280        Tulane                          2-2-0    30.9853
281        UTEP                            2-2-0    30.9806
282        Indiana St                      3-2-0    30.9759
283        Air Force                       5-0-0    30.9245
284        Presbyterian                    1-3-0    30.9157
285        Rhode Island                    0-3-0    30.7725
286        Florida Int'l                   1-2-0    30.7708
287        Louisiana-Lafayette             3-1-0    30.7667
288        Virginia Tech                   0-1-0    30.7645
289        Central Michigan                4-2-0    30.6811
290        UC-Davis                        1-4-0    30.4954
291        Connecticut                     2-3-0    30.4344
292        Delaware                        0-1-0    30.4341
293        Wagner                          0-1-0    30.4341
294        Temple                          3-2-0    30.1722
295        Texas-San Antonio               1-3-0    30.1445
296        West Virginia St                0-1-0    29.9659
297        Northern Arizona                0-1-0    29.8582
298        Monmouth NJ                     0-1-0    29.8046
299        Delaware                        2-2-0    29.6959
300        Massachusetts                   2-2-0    29.5572
301        North Texas                     0-4-0    29.4187
302        Western Kentucky                4-1-0    29.2973
303        Waldorf                         0-1-0    29.272
304        Eastern Oregon                  0-1-0    29.2582
